score,label,liquidity,year,ic_mean,ic_ir,ls_spread_20d,ic_n
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2024,-0.012460074431431139,-0.23463855503080278,-0.001037110606805251,242
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2025,-0.004136002056371779,-0.056911867915611744,0.005848384204300065,243
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,2026,-0.010715251844312402,-0.14155296857451216,-0.019071559376338504,80
rvol_only,純 RVOL baseline (對照),liq_50m,2006,0.0013759428908845701,0.010432312404283555,0.00961058216680202,228
rvol_only,純 RVOL baseline (對照),liq_50m,2007,-0.025996264184713708,-0.19597199641842308,-0.00032316772467811186,243
rvol_only,純 RVOL baseline (對照),liq_50m,2008,0.0410300057378461,0.2539316661173603,0.015236696670197055,249
rvol_only,純 RVOL baseline (對照),liq_50m,2009,-0.02631949775053811,-0.2007864127440792,-0.008991134867330816,247
rvol_only,純 RVOL baseline (對照),liq_50m,2010,0.010148720647886845,0.0846353381135596,0.002081143894051264,250
rvol_only,純 RVOL baseline (對照),liq_50m,2011,0.05465376312550844,0.40174284824644313,0.015550257707160254,247
rvol_only,純 RVOL baseline (對照),liq_50m,2012,0.007188201703631791,0.04923597545252189,-0.0034795153000539373,247
rvol_only,純 RVOL baseline (對照),liq_50m,2013,0.018656782396515297,0.15296708110917293,0.009044566236890636,244
rvol_only,純 RVOL baseline (對照),liq_50m,2014,0.031127567381905422,0.24022040125113908,0.009096329068172822,247
rvol_only,純 RVOL baseline (對照),liq_50m,2015,0.03985534185417217,0.38352453782079765,0.016117807946886765,244
rvol_only,純 RVOL baseline (對照),liq_50m,2016,0.022160259842666428,0.2537971897212814,0.0026652258902332207,244
rvol_only,純 RVOL baseline (對照),liq_50m,2017,0.004733409621381566,0.06446070633912733,0.0032033037193911797,246
rvol_only,純 RVOL baseline (對照),liq_50m,2018,0.019864220577554027,0.21832321528410303,0.007724496815515914,247
rvol_only,純 RVOL baseline (對照),liq_50m,2019,-0.015933026260223724,-0.19175046051193398,-0.0017481666301979847,242
rvol_only,純 RVOL baseline (對照),liq_50m,2020,-0.012262840066176088,-0.12526918998981398,-0.0003742208750520219,245
rvol_only,純 RVOL baseline (對照),liq_50m,2021,0.0005959606878401793,0.00675198384143827,0.00848854683806934,244
rvol_only,純 RVOL baseline (對照),liq_50m,2022,0.009060164672173639,0.10276805684924548,-0.004539799079324974,246
rvol_only,純 RVOL baseline (對照),liq_50m,2023,-0.004248493676402737,-0.05610612440811539,0.0018049482958473542,239
rvol_only,純 RVOL baseline (對照),liq_50m,2024,0.0003525015754305334,0.004982873830903248,0.005274192732917533,242
