me_date,n,ic,p,factor,horizon_m
2016-12-31,1475,-0.012568771850421472,0.6295767563029702,at,1
2017-01-31,1475,-0.039126212793633486,0.13310436982359167,at,1
2017-02-28,1494,0.06226179474339072,0.01608935010394572,at,1
2017-03-31,1494,0.0816417552016833,0.0015870666301829512,at,1
2017-04-30,1494,0.041559732074633655,0.10833362553553737,at,1
2017-05-31,1502,0.038779613565190066,0.1330344294764364,at,1
2017-06-30,1503,0.10140807308502676,8.205118530056346e-05,at,1
2017-07-31,1503,-0.01385661599070367,0.591419829861042,at,1
2017-08-31,1562,-0.015133303875334016,0.5500694546560307,at,1
2017-09-30,1562,0.0496782738654056,0.04964242369758311,at,1
2017-10-31,1562,-0.06617525177382416,0.00889243142662878,at,1
2017-11-30,1573,-0.0100814650730444,0.6894998280653064,at,1
2017-12-31,1573,-0.0012240271344114728,0.9613116718834263,at,1
2018-01-31,1573,0.011096812977461262,0.6601000160961448,at,1
2018-02-28,1588,-0.047836681139809226,0.056667298739303006,at,1
2018-03-31,1588,-0.12089339714457407,1.3550525603224195e-06,at,1
2018-04-30,1587,-0.026469582560081757,0.2919621289331581,at,1
2018-05-31,1591,0.07974039062614895,0.0014565588165686943,at,1
2018-06-30,1591,0.0586361179348803,0.019334747561043072,at,1
2018-07-31,1591,0.018696080895141114,0.4561411655636711,at,1
2018-08-31,1610,-0.12801616135187346,2.5518869671371137e-07,at,1
2018-09-30,1611,0.016949808065432795,0.49660596228555154,at,1
2018-10-31,1610,0.022233665937585256,0.3726401699065417,at,1
2018-11-30,1617,0.01660108646261369,0.5047136234159282,at,1
2018-12-31,1617,0.052979267744667116,0.03315116933073884,at,1
2019-01-31,1616,0.11031806256236479,8.794408729866991e-06,at,1
2019-02-28,1623,0.10024780185992832,5.2163918420316396e-05,at,1
2019-03-31,1624,0.02144633270336366,0.3877542912520019,at,1
2019-04-30,1625,-0.05603501240329968,0.023890833442599093,at,1
2019-05-31,1632,0.1052383566648793,2.044290189361943e-05,at,1
2019-06-30,1633,0.11160559462396757,6.163486669799651e-06,at,1
2019-07-31,1633,0.060852575222342546,0.013914114405902421,at,1
2019-08-31,1644,-0.08799319571209079,0.0003542484328254111,at,1
2019-09-30,1644,-0.03808853348652362,0.12265291465973975,at,1
2019-10-31,1644,0.014515984178443032,0.5564300518225729,at,1
2019-11-30,1647,-0.027578481783564285,0.2633162137427448,at,1
2019-12-31,1647,0.001818320436159223,0.9412193513733631,at,1
2020-01-31,1647,0.0112752645034043,0.6474885048781746,at,1
2020-02-29,1657,0.05291676196699799,0.031245868589313806,at,1
2020-03-31,1657,0.010508646255381653,0.6690466945108311,at,1
2020-04-30,1657,0.018641404221054498,0.44826231497999114,at,1
2020-05-31,1665,-0.12734534598561584,1.8522223969423748e-07,at,1
2020-06-30,1665,0.1037725524315459,2.208893503739405e-05,at,1
2020-07-31,1665,0.019254783260785936,0.4323581044528648,at,1
2020-08-31,1675,-0.08504255161986393,0.0004935524158929808,at,1
2020-09-30,1676,0.05742340628464765,0.018720932122246736,at,1
2020-10-31,1676,-0.0257268171257989,0.29251608173708393,at,1
2020-11-30,1684,0.01741056200270914,0.4752313056291759,at,1
2020-12-31,1684,0.17789352019177865,1.9316209969616482e-13,at,1
2021-01-31,1684,-0.013592165176714162,0.5772627696136985,at,1
2021-02-28,1692,0.0915859013766885,0.00016166252123138647,at,1
2021-03-31,1692,-0.035434218223343084,0.1451360017610483,at,1
2021-04-30,1692,-0.0208709317404459,0.39091323137011813,at,1
2021-05-31,1699,0.014641911240924276,0.5464341641524952,at,1
2021-06-30,1699,0.07562726786741733,0.0018118978537108828,at,1
2021-07-31,1699,-0.07734782032543458,0.0014196369507497688,at,1
2021-08-31,1702,-0.1160147102489281,1.595251214169153e-06,at,1
2021-09-30,1703,0.08149439945962789,0.0007621295387927947,at,1
2021-10-31,1704,0.07577961186979272,0.0017459607834163608,at,1
2021-11-30,1715,-0.00134428442699256,0.9556368095466946,at,1
2021-12-31,1715,-0.0442403667997107,0.06700093327353533,at,1
2022-01-31,1719,0.007176701952221606,0.7662074276089234,at,1
2022-02-28,1728,0.0184775607753649,0.4427204081945172,at,1
2022-03-31,1728,-0.1325038382827862,3.230020134615053e-08,at,1
2022-04-30,1728,0.026801377709070977,0.26549110055120434,at,1
2022-05-31,1738,-0.15533562253711883,7.478393516861273e-11,at,1
2022-06-30,1738,0.11063316372629255,3.780442094545984e-06,at,1
2022-07-31,1738,-0.0013569165070401296,0.9549209805867569,at,1
2022-08-31,1743,-0.08982155455852017,0.00017342160613677713,at,1
2022-09-30,1743,0.07565539397705881,0.0015732521845332006,at,1
2022-10-31,1743,0.05730806157587563,0.01671949233006584,at,1
2022-11-30,1752,-0.061242929969945105,0.010346860709167204,at,1
2022-12-31,1752,0.10424042924366765,1.2312362529720577e-05,at,1
2023-01-31,1753,0.10001851065473479,2.726364411973568e-05,at,1
2023-02-28,1759,0.14818163278965346,4.241014278403597e-10,at,1
2023-03-31,1759,-0.009146030578323009,0.7014796730312614,at,1
2023-04-30,1759,0.025741790334109935,0.2805729325894442,at,1
2023-05-31,1761,0.026797624395786677,0.26103589137003924,at,1
2023-06-30,1763,0.10357566998304664,1.3150560110135177e-05,at,1
2023-07-31,1763,-0.013784011295173988,0.5630066873074802,at,1
2023-08-31,1774,-0.004504888703835438,0.8496162497065094,at,1
2023-09-30,1774,-0.08240485633485836,0.0005122570298718469,at,1
2023-10-31,1778,0.02200465525963898,0.35376276909237936,at,1
2023-11-30,1790,-0.014684058188919318,0.5346928101321162,at,1
2023-12-31,1792,0.001237465568689398,0.9582514978845431,at,1
2024-01-31,1793,0.05511020333181991,0.01961021287211897,at,1
