universe,score,label,liquidity,horizon,decile,mean_ret,win_rate,n_days
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,10,0.0041761849342455875,0.6197335253871084,2777
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,1,0.008693739186930165,0.5803765387400435,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,2,0.00796196333307002,0.5970311368573498,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,3,0.007970188798756586,0.6064446053584359,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,4,0.008075322713001962,0.6158580738595221,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,5,0.009986887776589947,0.6220130340333092,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,6,0.011104418700981578,0.6176683562635771,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,7,0.00886489089739104,0.6100651701665459,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,8,0.009639575746846303,0.6183924692251991,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,9,0.011377194435923273,0.6346850108616944,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,10,0.014655006309163806,0.6422881969587255,2762
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,1,0.022705630043327242,0.6058045554739162,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,2,0.022394585424845636,0.6473181484202792,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,3,0.024344276999958062,0.6520940484937546,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,4,0.023908541571859628,0.6601763409257898,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,5,0.03278836313263306,0.6697281410727406,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,6,0.031692244776347966,0.668626010286554,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,7,0.028543641159579695,0.6623806024981631,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,8,0.029391029177858005,0.6862601028655401,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,9,0.0308988685904917,0.6987509184423218,2722
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,10,0.041876143900809674,0.6903012490815577,2722
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,1,0.0019037185814501723,0.579042784626541,2758
