score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho,net_vs_rvol
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,10,top,-0.0052996970871720585,-0.05595522976177453,47.49648099738588,-3.945934872694578,4973,0.0014495739700570633,0.0025,-0.0035504260299429368,0.06666666666666665,-0.0027128323933565887
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,10,top,-0.0052996970871720585,-0.05595522976177453,47.49648099738588,-3.945934872694578,4973,0.0014495739700570633,0.0035,-0.005550426029942937,0.06666666666666665,-0.0027128323933565887
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,20,top,-0.009410024962880641,-0.0972087453197686,45.17428974410639,-6.848216398964941,4963,5.6281506809904847e-05,0.0025,-0.004943718493190095,0.09090909090909088,-0.00456133488465448
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,20,top,-0.009410024962880641,-0.0972087453197686,45.17428974410639,-6.848216398964941,4963,5.6281506809904847e-05,0.0035,-0.006943718493190095,0.09090909090909088,-0.00456133488465448
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,60,top,-0.010075397310814678,-0.10204749643343666,45.053828966077596,-7.16007006906914,4923,-0.0016614594367961866,0.0025,-0.006661459436796187,-0.05454545454545454,-0.0062221384629048415
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),liq_50m,60,top,-0.010075397310814678,-0.10204749643343666,45.053828966077596,-7.16007006906914,4923,-0.0016614594367961866,0.0035,-0.008661459436796186,-0.05454545454545454,-0.006222138462904841
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,10,top,-0.006182466877810155,-0.06355687365530999,47.27528654735572,-4.481999005698973,4973,0.0014492804445840274,0.0025,-0.0035507195554159727,-0.006060606060606061,-0.0027131259188296246
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,10,top,-0.006182466877810155,-0.06355687365530999,47.27528654735572,-4.481999005698973,4973,0.0014492804445840274,0.0035,-0.005550719555415973,-0.006060606060606061,-0.0027131259188296246
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,20,top,-0.010058500584271345,-0.10334486719077497,45.17428974410639,-7.280497365917486,4963,0.00033725686878608753,0.0025,-0.004662743131213913,-0.13939393939393938,-0.004280359522678297
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,20,top,-0.010058500584271345,-0.10334486719077497,45.17428974410639,-7.280497365917486,4963,0.00033725686878608753,0.0035,-0.006662743131213913,-0.13939393939393938,-0.004280359522678297
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,60,top,-0.011986819100877956,-0.12612190574254878,44.32256754011782,-8.849229171929926,4923,-0.002768970193856482,0.0025,-0.007768970193856482,-0.1515151515151515,-0.007329649219965137
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,liq_50m,60,top,-0.011986819100877956,-0.12612190574254878,44.32256754011782,-8.849229171929926,4923,-0.002768970193856482,0.0035,-0.009768970193856481,-0.1515151515151515,-0.007329649219965136
interact_turn_5d,prior_ret(5d)×turnover 交互,liq_50m,10,top,-0.015942868870136497,-0.16433104402547244,44.273261706872084,-11.541843257749829,4933,0.0024685550558362487,0.0025,-0.0025314449441637514,-0.17575757575757575,-0.0016938513075774033
interact_turn_5d,prior_ret(5d)×turnover 交互,liq_50m,10,top,-0.015942868870136497,-0.16433104402547244,44.273261706872084,-11.541843257749829,4933,0.0024685550558362487,0.0035,-0.0045314449441637514,-0.17575757575757575,-0.0016938513075774033
