horizon,universe,indicator,label,weight,in_sample_ic
10,momentum,sig_macd_hist,MACD Hist,0.003193339507577473,0.008034459354270983
10,momentum,sig_rsi_dev,RSI 偏離,0.007788129519414142,0.008034459354270983
10,momentum,sig_kd_diff,KD 差,0.00011278847400133534,0.008034459354270983
10,momentum,sig_efi,EFI,-0.0007003963593169191,0.008034459354270983
10,momentum,sig_td_setup,TD Setup,1.812076628899509e-05,0.008034459354270983
10,momentum,sig_rvol_log,log(RVOL),0.00044897681096393394,0.008034459354270983
10,momentum,sig_obv_mom,OBV 動能,-0.0009021088199413266,0.008034459354270983
10,momentum,sig_bb_pos,BB %B,0.0003487523563906053,0.008034459354270983
10,momentum,sig_atr_pct,ATR%,0.002128018372962985,0.008034459354270983
10,momentum,sig_squeeze,Squeeze,-0.00034348715429557,0.008034459354270983
20,all,sig_ma20_dev,MA20 偏離,-0.014972665479296668,0.01872812118657441
20,all,sig_ma_align,MA 排列,0.0023841915374696473,0.01872812118657441
20,all,sig_supertrend,Supertrend,0.0011737245900604923,0.01872812118657441
20,all,sig_adx_dir,ADX×方向,0.0030395771987628403,0.01872812118657441
20,all,sig_vwap_dev,VWAP 偏離,0.008168145718395133,0.01872812118657441
20,all,sig_macd_hist,MACD Hist,0.002672293769632404,0.01872812118657441
20,all,sig_rsi_dev,RSI 偏離,0.004642831083591534,0.01872812118657441
20,all,sig_kd_diff,KD 差,-0.0005787692340262439,0.01872812118657441
20,all,sig_efi,EFI,-0.005842881860029002,0.01872812118657441
20,all,sig_td_setup,TD Setup,0.0004091458840453268,0.01872812118657441
20,all,sig_rvol_log,log(RVOL),0.003120141598031841,0.01872812118657441
20,all,sig_obv_mom,OBV 動能,0.0013203247908951075,0.01872812118657441
20,all,sig_bb_pos,BB %B,0.005772070130149945,0.01872812118657441
20,all,sig_atr_pct,ATR%,0.0027449442095096753,0.01872812118657441
20,all,sig_squeeze,Squeeze,-0.0008643231586045515,0.01872812118657441
20,momentum,sig_ma20_dev,MA20 偏離,-0.0203133806301891,0.010875691338140888
20,momentum,sig_ma_align,MA 排列,-0.000619368158265088,0.010875691338140888
20,momentum,sig_supertrend,Supertrend,0.0007663420024537672,0.010875691338140888
20,momentum,sig_adx_dir,ADX×方向,0.005803990931520695,0.010875691338140888
20,momentum,sig_vwap_dev,VWAP 偏離,0.010723734803919239,0.010875691338140888
20,momentum,sig_macd_hist,MACD Hist,-0.00010461325829039508,0.010875691338140888
20,momentum,sig_rsi_dev,RSI 偏離,0.01605070064175712,0.010875691338140888
20,momentum,sig_kd_diff,KD 差,7.011655634232687e-05,0.010875691338140888
20,momentum,sig_efi,EFI,-0.0022524208124283527,0.010875691338140888
20,momentum,sig_td_setup,TD Setup,0.0005797723601140108,0.010875691338140888
20,momentum,sig_rvol_log,log(RVOL),0.0013592361183302093,0.010875691338140888
20,momentum,sig_obv_mom,OBV 動能,-0.0018984409211590023,0.010875691338140888
20,momentum,sig_bb_pos,BB %B,0.0006010826562881937,0.010875691338140888
20,momentum,sig_atr_pct,ATR%,0.004334573590753064,0.010875691338140888
20,momentum,sig_squeeze,Squeeze,-0.0011167324999353666,0.010875691338140888
