score,label,liquidity,year,ic_mean,ic_ir,ic_win,ic_t,ic_n_days,ls_spread_20d,direction
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2011,0.06577810938483383,0.3021820999215941,65.18218623481782,4.7491644858561175,247,-0.012590160302426453,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2012,0.008529899786681422,0.042868304281715064,56.2753036437247,0.6737282860778954,247,0.00428765180062406,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2013,-0.01383348599570225,-0.12623012841554007,45.49180327868852,-1.9717776390942543,244,0.010027099023977703,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2014,0.041432083108695394,0.22103973034423313,59.10931174089069,3.473912047028662,247,-0.000773974552753319,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2015,0.03560620619315251,0.19589972655587085,65.1639344262295,3.0600515516863847,244,-0.005251205915915644,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2016,0.040072612226690466,0.44599175087727716,68.0327868852459,6.96661385549259,244,-0.009814567983476338,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2017,0.0572001513867629,0.5287336712342845,70.32520325203252,8.292863594310086,246,-0.005644810813085165,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2018,0.06159015857164554,0.4372721989743254,76.11336032388664,6.872272045762812,247,-0.00788189913951277,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2019,0.0796758823596469,0.8412799404166603,78.099173553719,13.087244516386372,242,-0.017295003057052595,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2020,0.008763138030263835,0.05597505896503802,53.87755102040816,0.8761482582326883,245,0.019114202327034684,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2021,0.03759343453612746,0.29048377024991995,62.704918032786885,4.53750154490116,244,0.0012142327659530744,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2022,0.02221057206897633,0.2164123309148376,54.0650406504065,3.394294780232018,246,0.012642850154388745,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2023,0.04195693351163927,0.5027117027141457,71.54811715481172,7.771734323491481,239,-0.0011350954291894678,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2024,0.04997257187779165,0.6887715146834358,75.20661157024794,10.714770191857317,242,0.004145166681549212,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2025,0.06860994183086049,0.6690719807248092,79.83539094650206,10.429799980825027,243,-0.015963909525048742,bot
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,2026,0.09240816870125626,1.404486086107528,91.25,12.562105447956222,80,-0.03800292727534611,bot
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2006,-0.03407547048218484,-0.22661912119130792,39.03508771929825,-3.4218736897218633,228,0.010022078916739043,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2007,0.0029792774154648954,0.022140465079238718,47.325102880658434,0.34513569378401354,243,0.010782271977821693,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2008,-0.019857824539542334,-0.11710931165636558,44.17670682730924,-1.8479537678958076,249,-0.010130260826260597,top
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,2009,-0.030962880342069694,-0.17769757592955426,39.27125506072874,-2.7927366215481557,247,-0.015991010686186302,top
