universe,score,year,ic_mean,ic_ir,ls_spread_20d,ic_n
large_cap,flow_samesign_20d,2015,0.048961150874257196,0.28005736697747124,0.009725708638494519,224
large_cap,flow_samesign_20d,2016,-0.0635227149909284,-0.44825518752999777,-0.013143794897121525,243
large_cap,flow_samesign_20d,2017,-0.01655483992379716,-0.14940395595441155,0.005037596636276915,246
large_cap,flow_samesign_20d,2018,0.029141833769762076,0.18613414888077884,0.005265286641196125,247
large_cap,flow_samesign_20d,2019,-0.03297870236852778,-0.2014873186181285,-0.005905689500687199,242
large_cap,flow_samesign_20d,2020,0.004604426750081774,0.03579172970682356,0.0097033713623042,245
large_cap,flow_samesign_20d,2021,-0.04056865488480912,-0.3463663277069193,-0.007776099323257322,199
large_cap,flow_samesign_20d,2022,-0.06784193251644209,-0.47043544541917165,-0.02056984319549978,246
large_cap,flow_samesign_20d,2023,0.03278894821357361,0.288841740495214,0.028170506473018306,239
large_cap,flow_samesign_20d,2024,0.013152259472934958,0.11127715275618782,9.83798120696574e-05,242
large_cap,flow_samesign_20d,2025,0.046463630020285966,0.36556977449623906,0.027436872405990926,243
large_cap,flow_samesign_20d,2026,0.10726381234708046,0.9460781361211277,0.07401225004200947,80
large_cap,flow_turn_cont_5d,2015,-0.002776013366531735,-0.023175621515801118,-0.002831489959990236,225
large_cap,flow_turn_cont_5d,2016,-0.006030797857290398,-0.06132633648202071,-0.004725337340975619,243
large_cap,flow_turn_cont_5d,2017,0.018676416352283908,0.20372347895000553,0.005361769934254315,246
large_cap,flow_turn_cont_5d,2018,-0.017235759647127154,-0.17531319707712242,-0.003030796584545307,247
large_cap,flow_turn_cont_5d,2019,-0.0005141528509997991,-0.004856508958815596,-0.0006761244146270586,242
large_cap,flow_turn_cont_5d,2020,0.03640457696017957,0.4125021549375543,0.013670800682192676,245
large_cap,flow_turn_cont_5d,2021,4.5924894791649625e-05,0.00035835850860715766,0.013044393613762188,242
large_cap,flow_turn_cont_5d,2022,-0.008056162791960272,-0.09185766027765896,-0.006281292199066316,246
large_cap,flow_turn_cont_5d,2023,0.0007273411105769991,0.007726710336513895,-0.01017659150012662,239
large_cap,flow_turn_cont_5d,2024,-0.01075693197503736,-0.1310831209811715,-0.005254796310736505,242
large_cap,flow_turn_cont_5d,2025,0.0051966975277825695,0.05461057145251775,-0.0007675764369082343,243
large_cap,flow_turn_cont_5d,2026,0.007695072958372082,0.11085880889115722,0.011918445116314638,80
large_cap,flow_turn_cont_20d,2015,-0.01635239793443048,-0.1412910448681807,-0.0013514433226998347,224
large_cap,flow_turn_cont_20d,2016,-0.04032138408240678,-0.34369737929812033,-0.013257924793986695,243
large_cap,flow_turn_cont_20d,2017,-0.005607677048558538,-0.05130963340510198,-0.003905655870157487,246
large_cap,flow_turn_cont_20d,2018,-0.010338616530178181,-0.12247392420773015,-0.00697631271557766,247
large_cap,flow_turn_cont_20d,2019,-0.0017833347101610807,-0.019474583875545362,0.0002819367634561889,242
large_cap,flow_turn_cont_20d,2020,0.0390253529861174,0.3196527282360513,0.01385113042453824,245
large_cap,flow_turn_cont_20d,2021,0.020530678681329368,0.16861840805075892,0.01978738630416233,244
large_cap,flow_turn_cont_20d,2022,-0.006590956469956341,-0.0691293363731291,-0.0028458913144746648,246
large_cap,flow_turn_cont_20d,2023,-0.0002975982759064321,-0.003102144418703068,-0.007817790171914824,239
large_cap,flow_turn_cont_20d,2024,-0.007181915780775241,-0.09386442748573115,-0.000708112803209344,242
large_cap,flow_turn_cont_20d,2025,0.024754452303041286,0.2701532021552338,0.00838852519884349,243
large_cap,flow_turn_cont_20d,2026,0.02682097047031513,0.40048411312535515,0.013387911660088472,80
