stop_mult,be_mult,stop_ceil,ma20_mult,train_sharpe,train_mean,train_rank,test_sharpe,test_mean,test_rank,train_start,test_start,note
2.0,1.5,0.1,1.8,0.2316504512320583,0.02049246885561951,1.0,-0.17363170829141306,-0.01457794110061824,1.0,2017-08-11,2017-11-03,train_top5
2.0,2.0,0.1,1.0,0.2316504512320583,0.02049246885561951,1.0,-0.17363170829141306,-0.01457794110061824,1.0,2017-08-11,2017-11-03,train_top5
3.0,3.0,0.14,1.2,0.21015749095324499,0.019534955992268285,221.0,-0.24261515156199998,-0.022145637929636742,421.0,2017-08-11,2017-11-03,baseline
3.0,1.5,0.1,1.0,0.04458424946448208,0.004042972504100818,1.0,0.314798519770892,0.027971877809299883,301.0,2017-09-08,2017-12-01,train_top5
3.0,1.5,0.1,1.2,0.04458424946448208,0.004042972504100818,1.0,0.314798519770892,0.027971877809299883,301.0,2017-09-08,2017-12-01,train_top5
3.0,1.5,0.1,1.5,0.04458424946448208,0.004042972504100818,1.0,0.314798519770892,0.027971877809299883,301.0,2017-09-08,2017-12-01,train_top5
3.0,1.5,0.1,1.8,0.04458424946448208,0.004042972504100818,1.0,0.314798519770892,0.027971877809299883,301.0,2017-09-08,2017-12-01,train_top5
3.0,2.0,0.1,1.0,0.04458424946448208,0.004042972504100818,1.0,0.314798519770892,0.027971877809299883,301.0,2017-09-08,2017-12-01,train_top5
3.0,3.0,0.14,1.2,0.01260567574371242,0.0011904280923171959,301.0,0.3777269170154448,0.03244674254279219,61.0,2017-09-08,2017-12-01,baseline
3.0,1.5,0.1,1.0,0.13910120830439418,0.013335907480736795,1.0,0.20954930659821872,0.021038000221971272,321.0,2017-10-06,2017-12-29,train_top5
3.0,1.5,0.1,1.2,0.13910120830439418,0.013335907480736795,1.0,0.20954930659821872,0.021038000221971272,321.0,2017-10-06,2017-12-29,train_top5
3.0,1.5,0.1,1.5,0.13910120830439418,0.013335907480736795,1.0,0.20954930659821872,0.021038000221971272,321.0,2017-10-06,2017-12-29,train_top5
3.0,1.5,0.1,1.8,0.13910120830439418,0.013335907480736795,1.0,0.20954930659821872,0.021038000221971272,321.0,2017-10-06,2017-12-29,train_top5
3.0,2.0,0.1,1.0,0.13910120830439418,0.013335907480736795,1.0,0.20954930659821872,0.021038000221971272,321.0,2017-10-06,2017-12-29,train_top5
3.0,3.0,0.14,1.2,0.13011906691427816,0.01276030393476268,61.0,0.31909728877646065,0.0324522422928317,1.0,2017-10-06,2017-12-29,baseline
4.5,1.5,0.16,1.0,0.17254646053734768,0.016748480752347823,1.0,0.4108256926950634,0.04091166567128048,21.0,2017-11-03,2018-01-26,train_top5
