quarter_end,n_total,top_ret_3m,bot_ret_3m,n_top_ret_3m,n_bot_ret_3m,top_ret_6m,bot_ret_6m,n_top_ret_6m,n_bot_ret_6m,top_ret_12m,bot_ret_12m,n_top_ret_12m,n_bot_ret_12m
2018-03-31,1339,0.07474558022482304,0.07367405235897875,345,216,0.01848940910589023,0.00016621875159197167,345,216,0.07799196452384534,0.15158167496619224,345,216
2018-06-30,1344,-0.049629666198199765,-0.06535678655510371,337,203,-0.02718659830295936,-0.023015532277902886,337,203,0.0205875363650483,0.061484067945318154,337,203
2018-09-30,1349,0.04592762626915038,0.09171946412886553,340,193,0.05255572040266303,0.10556986348076493,340,193,0.17722911132633382,0.25413939461214313,340,193
2018-12-31,1363,0.041054964106610324,0.05661569914840605,347,190,0.04267994541679396,0.03764675967499066,347,190,0.20477787859951987,0.2927804948224442,347,190
2019-03-31,1372,0.004890249880185848,-0.03555437946735667,353,199,0.09498270933394164,0.0669976520025275,353,199,-0.08804939133489637,-0.05311419816938297,353,199
2019-06-30,1376,0.09210348179466134,0.10855132096314687,371,217,0.1529878426725093,0.2237467485461386,371,217,0.12227746415288385,0.2769628267443505,371,217
2019-09-30,1379,0.05344724466235893,0.11002703412516057,393,211,-0.1261343800668061,-0.0651060872817582,393,211,0.12364282619344091,0.3286225472460486,393,211
2019-12-31,1390,-0.2167153009393407,-0.20613866574110745,395,203,-0.02099853165882877,0.028366467301152335,395,203,0.21228923382843304,0.7585920523857926,395,203
2020-03-31,1396,0.258516858000889,0.36919806091290647,389,201,0.3423083462655338,0.4850241698286823,389,201,0.734266572153798,1.247361360725081,389,201
2020-06-30,1401,0.05926769712919996,0.11275900515576046,417,188,0.21485175081383218,0.597867760084412,417,188,0.38769938596437875,0.684389485661638,417,188
2020-09-30,1403,0.09676439197848312,0.41826554704491004,418,197,0.19038917829332594,0.4253531767311118,418,197,0.33387841771186655,0.714184554870049,418,197
2020-12-31,1428,0.10253233575655105,0.04057047212050603,421,207,0.1479235954461044,0.05038078255396621,421,207,0.10586699264505539,0.08763740996415549,421,207
2021-03-31,1441,0.04076709086867147,0.00875776981208208,411,214,0.09494457003277289,0.12512229367089972,411,214,-0.06545547105482907,-0.03588005408261956,411,214
2021-06-30,1445,0.056567498621102476,0.10108083615017523,405,234,-0.037416364176514824,0.0009170491499230751,405,234,-0.016923194023239944,0.008490035631730323,405,234
2021-09-30,1446,-0.06551460353477279,-0.07115630577911315,393,232,-0.1287157381676914,-0.15314646144229638,393,232,-0.09949420402587296,-0.104974174651389,393,232
2021-12-31,1452,-0.06865015776239664,-0.1179087237783233,377,244,0.01772396289645355,-0.01001002002529371,377,244,0.05470229452521503,0.0521723824826977,377,243
2022-03-31,1457,0.0946223038855276,0.14038749331646438,365,252,0.04580603404959383,0.08773841502439746,365,252,0.08524764567547909,0.15861013874754162,365,251
2022-06-30,1457,-0.03130217998974632,-0.036048444696619296,351,257,0.02976234053186586,0.05975680497893411,351,257,0.0663595503720274,0.09252239631476124,351,256
2022-09-30,1458,0.07695507369764142,0.1308734614486296,348,253,0.04877807437576159,0.07531985092591155,348,253,0.11369060391186334,0.17023731975536832,348,252
2022-12-31,1469,-0.033118440236292006,-0.08908068822670827,356,244,0.03659939484086417,0.008121408683390818,356,244,0.16742096304178683,0.20893367983968542,356,243
2023-03-31,1475,0.07669111674187172,0.10626420029060828,371,234,0.03107373337190235,0.029023224909179815,371,234,0.2542742252230773,0.46102473000005256,371,233
2023-06-30,1478,-0.04787992803056077,-0.10786723716938389,390,234,0.07795171931633593,0.07113578059527151,390,234,0.16094076334129717,0.21853485551325133,390,233
2023-09-30,1479,0.12265886780958496,0.2008948951243287,412,233,0.17031411720164313,0.2775104544003865,412,233,0.2918649082986568,0.5685978392082163,412,232
2023-12-31,1487,0.061030311382195376,0.08945517257911642,413,237,0.08447909069701004,0.1182217574572021,413,237,0.15232780113709019,0.2726972445591364,413,236
2024-03-31,1492,0.021790072558383652,0.025228999635716436,407,237,0.114813906591745,0.1356963614595544,407,237,0.06589796121113126,0.061971107441405986,407,236
2024-06-30,1495,0.11461436593381864,0.13959940245388847,405,225,0.07865777471715575,0.16785238220119908,405,225,0.08888424778031916,0.2625979879289477,405,224
2024-09-30,1495,-0.012354579000740558,0.042577023938316506,417,248,-0.02966205884235235,-0.05289769689988503,417,248,-0.03979344956294439,0.14275355989439695,417,247
2024-12-31,1498,-0.012593415004020073,-0.07875940262872001,438,248,0.017672163450080398,0.01610202312886305,438,248,0.10422866458569044,0.2882858613912153,438,247
