n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,run,period,side,cfg_min_hold,cfg_tp,cfg_rebal,cfg_defer
51,0.98,0.0,0.0,,0.0,0.0,rule2_biannual,OOS_2023,value,40,none,26,3
51,0.98,17.03,11.15,1.438,-6.93,39.2,rule2_biannual,OOS_2023,qm,40,none,26,3
51,0.98,8.35,5.57,1.318,-3.51,39.2,rule2_biannual,OOS_2023,dual,40,none,26,3
52,1.0,0.0,0.0,,0.0,0.0,rule2_biannual,OOS_2024,value,40,none,26,3
52,1.0,-2.18,6.69,-0.475,-6.78,23.1,rule2_biannual,OOS_2024,qm,40,none,26,3
52,1.0,-1.04,3.34,-0.61,-3.42,23.1,rule2_biannual,OOS_2024,dual,40,none,26,3
51,0.98,0.0,0.0,,0.0,0.0,rule2_biannual,OOS_2025,value,40,none,26,3
51,0.98,-9.41,7.15,-1.456,-9.66,7.8,rule2_biannual,OOS_2025,qm,40,none,26,3
51,0.98,-4.76,3.58,-1.611,-4.89,7.8,rule2_biannual,OOS_2025,dual,40,none,26,3
309,5.94,-0.05,3.57,-0.296,-10.34,4.5,rule2_biannual,FULL_2020_2025,value,40,none,26,3
309,5.94,5.93,9.32,0.529,-11.84,28.8,rule2_biannual,FULL_2020_2025,qm,40,none,26,3
309,5.94,3.02,5.07,0.398,-6.78,32.0,rule2_biannual,FULL_2020_2025,dual,40,none,26,3
155,2.98,6.03,7.57,0.664,-10.44,14.2,rule7_immediate,IS_2020_2022,value,40,none,13,0
155,2.98,1.83,11.55,0.072,-17.65,32.9,rule7_immediate,IS_2020_2022,qm,40,none,13,0
155,2.98,4.12,7.37,0.424,-13.34,40.6,rule7_immediate,IS_2020_2022,dual,40,none,13,0
51,0.98,0.0,0.0,,0.0,0.0,rule7_immediate,OOS_2023,value,40,none,13,0
51,0.98,24.3,10.45,2.229,-4.05,35.3,rule7_immediate,OOS_2023,qm,40,none,13,0
51,0.98,11.65,5.23,2.038,-2.03,35.3,rule7_immediate,OOS_2023,dual,40,none,13,0
52,1.0,2.62,4.04,0.401,-2.4,11.5,rule7_immediate,OOS_2024,value,40,none,13,0
52,1.0,6.63,8.77,0.642,-5.66,40.4,rule7_immediate,OOS_2024,qm,40,none,13,0
52,1.0,4.7,5.33,0.695,-2.84,42.3,rule7_immediate,OOS_2024,dual,40,none,13,0
51,0.98,-5.85,13.06,-0.524,-16.4,17.6,rule7_immediate,OOS_2025,value,40,none,13,0
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,rule7_immediate,OOS_2025,qm,40,none,13,0
51,0.98,-6.65,8.48,-0.902,-8.61,31.4,rule7_immediate,OOS_2025,dual,40,none,13,0
309,5.94,1.71,8.04,0.088,-17.77,11.7,rule7_immediate,FULL_2020_2025,value,40,none,13,0
309,5.94,6.25,11.2,0.469,-17.65,36.2,rule7_immediate,FULL_2020_2025,qm,40,none,13,0
309,5.94,4.18,7.11,0.448,-13.34,42.1,rule7_immediate,FULL_2020_2025,dual,40,none,13,0
