train_start,train_end,test_start,test_end,version,test_ic_20d,test_ir_20d,test_n_weeks,test_top20_ret,best_weights
2023-10-06,2023-12-22,2023-12-29,2024-01-19,v3_trained,0.16450335897561863,14.67520994202396,4,0.110960393511442,"{'trending': {'trend': 0.5, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 0.5, 'momentum': 1.3, 'volume': 1.0}, 'volatile': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 0.7, 'momentum': 1.3, 'volume': 1.0}}"
2023-11-03,2024-01-19,2024-01-26,2024-02-16,v1_current,0.09127481045399785,12.210674654777417,4,0.1166431329395295,
2023-11-03,2024-01-19,2024-01-26,2024-02-16,v2_flat,0.09167310339865944,10.665952090625636,4,0.11553808131359544,
2023-11-03,2024-01-19,2024-01-26,2024-02-16,v3_trained,0.08705266001821112,12.478423921886671,4,0.10834252848713805,"{'trending': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 0.5, 'momentum': 0.7, 'volume': 1.0}, 'volatile': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'neutral': {'trend': 0.5, 'momentum': 1.3, 'volume': 1.0}}"
2023-12-01,2024-02-16,2024-02-23,2024-03-15,v1_current,-0.07886146235692859,-3.580427994028732,4,0.025050398955854185,
2023-12-01,2024-02-16,2024-02-23,2024-03-15,v2_flat,-0.08422304158836433,-3.9275371589487347,4,0.025050398955854182,
2023-12-01,2024-02-16,2024-02-23,2024-03-15,v3_trained,0.04882703740738793,1.2360813326982767,4,0.043537566864865054,"{'trending': {'trend': 0.7, 'momentum': 1.5, 'volume': 1.0}, 'ranging': {'trend': 0.5, 'momentum': 0.7, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 0.5, 'momentum': 1.3, 'volume': 1.0}}"
2023-12-29,2024-03-15,2024-03-22,2024-04-12,v1_current,-0.09344014468533418,-7.515044540721772,4,-0.03778491611361942,
2023-12-29,2024-03-15,2024-03-22,2024-04-12,v2_flat,-0.10435052633464714,-8.022773833850861,4,-0.04047937269314819,
2023-12-29,2024-03-15,2024-03-22,2024-04-12,v3_trained,-0.049324528840720326,-3.2060357348425788,4,-0.037806060716023555,"{'trending': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'ranging': {'trend': 0.5, 'momentum': 0.7, 'volume': 1.0}, 'volatile': {'trend': 1.5, 'momentum': 0.5, 'volume': 1.0}, 'neutral': {'trend': 0.7, 'momentum': 0.5, 'volume': 1.0}}"
