tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp1_trigger_rate,tp2_trigger_rate,tp3_trigger_rate,avg_holding_ret_no_tp,rr_median
0.08,0.18,0.6,0.5,1.6,12797,0.023376646809110866,0.1492316544853933,0.15664670401009967,0.4737047745565367,0.46346800031257324,0.441978588731734,0.23849339688989607,0.019145112135656794,-0.008935432458064038,1.2444815702232335
0.08,0.18,0.6,0.7,1.6,12797,0.0234240989192316,0.1492640718134777,0.1569305904270296,0.4731577713526608,0.46346800031257324,0.43814956630460267,0.237164960537626,0.018910682191138548,-0.007466457273701634,1.2444815702232335
0.08,0.18,0.6,0.9,1.6,12797,0.023558334695804397,0.14941644267472093,0.15766895713807622,0.4726107681487849,0.46346800031257324,0.43377354067359536,0.23489880440728295,0.018441822302102055,-0.005732614794394631,1.2444815702232335
0.08,0.18,0.6,0.5,1.8,12797,0.02464106681644867,0.15229334010249154,0.16180002881193317,0.472454481519106,0.46346800031257324,0.43252324763616473,0.22122372431038526,0.015316089708525436,-0.005540986038552737,1.2444815702232335
0.08,0.18,0.6,0.7,1.8,12797,0.024688518926569408,0.15232471196319236,0.16207822492081997,0.4719074783152301,0.46346800031257324,0.4286942252090334,0.2198952879581152,0.01508165976400719,-0.004321339746845338,1.2444815702232335
0.08,0.18,0.6,0.9,1.8,12797,0.024822754703142203,0.15247291110585992,0.16280108068447707,0.4713604751113542,0.46346800031257324,0.4243181995780261,0.21762913182777213,0.014612799874970696,-0.002856244845184642,1.2444815702232335
0.08,0.18,0.6,0.5,2.0,12797,0.02554110490325159,0.15465396851886348,0.1651500129473644,0.4715167617410331,0.46346800031257324,0.4271313589122451,0.21075252012190357,0.014612799874970696,-0.004434649521227956,1.2444815702232335
0.08,0.18,0.6,0.7,2.0,12797,0.025588557013372322,0.15468458551619538,0.16542409140497852,0.47096975853715717,0.46346800031257324,0.4233023364851137,0.2094240837696335,0.01437836993045245,-0.003310493970360255,1.2444815702232335
0.08,0.18,0.6,0.9,2.0,12797,0.02572279278994512,0.15482974555336598,0.1661359882625339,0.47042275533328126,0.46346800031257324,0.4189263108541064,0.20715792763929045,0.013909510041415957,-0.00195018239873129,1.2444815702232335
0.08,0.22,0.3,0.5,1.2,12797,0.016810125327411583,0.1351938152703675,0.12434093448575169,0.47643979057591623,0.46346800031257324,0.46659373290614986,0.23997811987184497,0.15175431741814488,-0.014401961765961964,1.2444815702232335
