indicator,label,horizon,universe,regime,mean,std,ir,p,ci_low,ci_high,win_rate,n
sig_ma20_dev,MA20 偏離,60,all,volatile,0.0023293088852054562,0.11069124741985306,0.021043297817128784,0.46821929469214574,-0.021369459012622168,0.02142502469247045,54.16316232127838,1189
sig_squeeze,Squeeze,60,all,volatile,0.0010188248664038382,0.06511204988885129,0.015647255279829318,0.5896107433827567,-0.012817907622838456,0.013714452216898926,52.985702270815814,1189
sig_kd_diff,KD 差,60,all,volatile,-0.0038498986149343756,0.0606640733690514,-0.0634625800927251,0.02884131061148376,-0.008199973253741066,0.00011211365358397928,46.59377628259041,1189
sig_supertrend,Supertrend,60,all,volatile,-0.004279727928251767,0.05309563035010637,-0.08060414576551293,0.005532123687694845,-0.01599234085425901,0.005641368668369189,43.90243902439025,1189
sig_efi,EFI,60,all,volatile,-0.014302753944906621,0.08633541500045797,-0.16566497010329714,1.4065119957606953e-08,-0.032605660210117786,0.00033391697802157813,43.986543313709,1189
sig_macd_hist,MACD Hist,60,all,volatile,-0.016859158472112792,0.09394642576922495,-0.17945502805531457,8.51236192644933e-10,-0.03230873571879063,-0.0028335268377567666,43.93939393939394,1188
sig_atr_pct,ATR%,60,all,volatile,-0.057505225298095014,0.1553198986822613,-0.3702373345976342,0.0,-0.09440563891749003,-0.02860284195010975,33.22119428090833,1189
sig_squeeze,Squeeze,1,momentum,all,-0.0010391988575071895,0.08588202691350803,-0.01210030660494039,0.4303017627759451,-0.00363476281028305,0.0014641091552850909,49.70581313250177,4249
sig_ma_align,MA 排列,1,momentum,all,-0.007694879301051124,0.15836092625803683,-0.04859076972379485,0.0015452476129842463,-0.011763807022465931,-0.003244382528829297,48.4121383203952,4251
sig_supertrend,Supertrend,1,momentum,all,-0.009435280504472811,0.10297478939399315,-0.09162709202902435,2.503573348633381e-09,-0.012246302701826884,-0.006659387445924764,46.859562455892735,4251
sig_obv_mom,OBV 動能,1,momentum,all,-0.012804719783450423,0.10970035004418843,-0.1167245116199953,3.352873534367973e-14,-0.01568090360444553,-0.010068073440124795,45.73041637261821,4251
sig_macd_hist,MACD Hist,1,momentum,all,-0.020079081827685235,0.1475546659945379,-0.1360789351685328,0.0,-0.024268818543802317,-0.016322764527466286,44.76593742648788,4251
sig_rvol_log,log(RVOL),1,momentum,all,-0.0208738949764473,0.1210299119295666,-0.17246889338062868,0.0,-0.024900704990635823,-0.01651657657240015,42.4363807728558,4244
sig_adx_dir,ADX×方向,1,momentum,all,-0.024209682237212978,0.15027576461256262,-0.1611017072488688,0.0,-0.029058196942235517,-0.019783557418168687,43.58974358974359,4251
sig_vwap_dev,VWAP 偏離,1,momentum,all,-0.028284837404565714,0.16288887016433046,-0.17364499720595122,0.0,-0.03346901251411048,-0.023481557952555483,42.178310985650434,4251
sig_rsi_dev,RSI 偏離,1,momentum,all,-0.029493931528671028,0.1539166851890816,-0.19162270479278254,0.0,-0.03503201198834022,-0.02444581390057462,42.10773935544578,4251
sig_bb_pos,BB %B,1,momentum,all,-0.03127915180769937,0.14601353643921386,-0.21422090424281334,0.0,-0.03675916370035231,-0.026505623929997477,40.34344860032933,4251
sig_atr_pct,ATR%,1,momentum,all,-0.03136746848716612,0.2255713965974758,-0.13905782807711325,0.0,-0.0371862968972159,-0.02548531793465501,45.61279698894378,4251
sig_ma20_dev,MA20 偏離,1,momentum,all,-0.03222394750845824,0.16288886714146966,-0.1978278078419663,0.0,-0.0374929572420274,-0.02744685915103428,41.51964243707363,4251
sig_td_setup,TD Setup,1,momentum,all,-0.0340211566324958,0.12554413248496235,-0.2709896190215887,0.0,-0.03828255574565883,-0.030168983523762974,39.19077864031992,4251
sig_kd_diff,KD 差,1,momentum,all,-0.03857333814214042,0.11960634896178109,-0.3225024296533465,0.0,-0.04383260002390622,-0.03389643784010293,36.69724770642202,4251
sig_efi,EFI,1,momentum,all,-0.03996266247713094,0.14463362873134114,-0.2763027024051378,0.0,-0.04501259441259103,-0.03592773338049299,38.837920489296636,4251
sig_squeeze,Squeeze,5,momentum,all,-0.004621219426739338,0.09138410501244022,-0.05056918187369943,0.0009849318013712693,-0.010053188655287095,0.00021391008583270503,48.55328158080452,4251
sig_macd_hist,MACD Hist,5,momentum,all,-0.005907202223251005,0.1403537013112155,-0.04208796895318476,0.006080801128937496,-0.014205087815890206,0.0018115685303930961,48.2953209499177,4253
sig_rvol_log,log(RVOL),5,momentum,all,-0.007931133610132516,0.1117646769926758,-0.07096279274937878,3.885630051714273e-06,-0.013705762918016808,-0.002241548977562408,45.936395759717314,4245
sig_supertrend,Supertrend,5,momentum,all,-0.010077263200609083,0.09976854323887772,-0.10100641819015939,5.030242888892644e-11,-0.015964622203636307,-0.004193395884698895,45.49729602633435,4253
sig_ma_align,MA 排列,5,momentum,all,-0.010154904352437783,0.15826688527525334,-0.06416316549590685,2.9169005419715788e-05,-0.019659151911229203,-0.001015801083436654,47.87209028920762,4253
sig_obv_mom,OBV 動能,5,momentum,all,-0.0147208429177062,0.10701671713587413,-0.13755648006858437,0.0,-0.02109452912584298,-0.009011352366835368,44.79191159181754,4253
sig_vwap_dev,VWAP 偏離,5,momentum,all,-0.015298907975938638,0.15483035376353038,-0.09881077969572029,1.2936163251708876e-10,-0.025347975111827997,-0.006238543882491051,46.48483423465789,4253
sig_rsi_dev,RSI 偏離,5,momentum,all,-0.016796847785761782,0.14993563690794312,-0.11202705462260878,3.2729374765949615e-13,-0.027063437946301908,-0.007456911001774893,46.74347519398072,4253
sig_adx_dir,ADX×方向,5,momentum,all,-0.017725116659146525,0.14693284180350125,-0.12063413762085254,4.440892098500626e-15,-0.027060904852574792,-0.009183307571965435,46.226193275335056,4253
sig_bb_pos,BB %B,5,momentum,all,-0.017810223600014354,0.1406974375284204,-0.12658527342700715,2.220446049250313e-16,-0.027139806273244964,-0.00931456814622386,45.3091935104632,4253
sig_ma20_dev,MA20 偏離,5,momentum,all,-0.021482282153763743,0.1542919235333801,-0.13923141057423,0.0,-0.03156111709579703,-0.012308690736513028,45.77944980014107,4253
sig_td_setup,TD Setup,5,momentum,all,-0.023265731766897505,0.12097444588354224,-0.19231939106623056,0.0,-0.031070400506655917,-0.016789435208836263,42.699271102751,4253
sig_atr_pct,ATR%,5,momentum,all,-0.03047096953542544,0.22406253354368114,-0.13599314911560217,0.0,-0.04412200639704033,-0.01743563083467269,44.62732189043028,4253
sig_kd_diff,KD 差,5,momentum,all,-0.032350653294684645,0.11129530767011307,-0.29067400928145326,0.0,-0.03634607736735774,-0.02817752050019238,38.86668234187633,4253
sig_efi,EFI,5,momentum,all,-0.03486710232939424,0.1354181258759991,-0.2574773657798341,0.0,-0.043257045893583264,-0.02706387347846042,39.971784622619325,4253
sig_macd_hist,MACD Hist,10,momentum,all,0.013923573192275681,0.13655287320635034,0.10196470323429394,3.399192038955334e-11,0.0026868069879802817,0.02406895634476911,55.225988700564976,4248
sig_rvol_log,log(RVOL),10,momentum,all,0.008435215011124389,0.10725768516302503,0.0786443880296632,3.17491415824378e-07,0.0016485450113063447,0.014836132975496196,52.31132075471698,4240
sig_vwap_dev,VWAP 偏離,10,momentum,all,0.007039432926638984,0.14644459687247352,0.04806891532344511,0.0017422388449801485,-0.005700562977706834,0.018169525387540495,53.88418079096046,4248
sig_td_setup,TD Setup,10,momentum,all,0.002701462669305456,0.11631434814812269,0.023225532467114268,0.13016032916489073,-0.005762075596335768,0.01050408816442289,51.2241054613936,4248
sig_bb_pos,BB %B,10,momentum,all,0.0026677992045743924,0.13116663276419202,0.02033900808729681,0.18503388775363616,-0.009275315426287354,0.012543686400334254,51.69491525423729,4248
sig_rsi_dev,RSI 偏離,10,momentum,all,0.00028697984969505144,0.14194833077057034,0.0020217204960225566,0.8951732205350351,-0.012514000890420382,0.011773656687792582,49.97645951035782,4248
sig_ma20_dev,MA20 偏離,10,momentum,all,-0.0025432335236434166,0.14645099902961561,-0.017365764252172282,0.25776438559422354,-0.015227357467969261,0.008234832769610371,51.2241054613936,4248
sig_squeeze,Squeeze,10,momentum,all,-0.004399486812329772,0.08964067373367611,-0.049079135944478935,0.0013937116256086401,-0.011231082913741771,0.0016798176686162096,47.38577484691474,4246
sig_adx_dir,ADX×方向,10,momentum,all,-0.0058362953724175074,0.13944030519388675,-0.04185515346013011,0.006398558029879098,-0.018367262746254037,0.005210150323281972,48.18738229755179,4248
sig_supertrend,Supertrend,10,momentum,all,-0.011716754205992703,0.09953807340536025,-0.11771128177533866,2.0872192862952943e-14,-0.02012321517827298,-0.0037313041451552476,44.8210922787194,4248
sig_ma_align,MA 排列,10,momentum,all,-0.013685209610371899,0.1523613866029392,-0.08982072108621711,5.15425324643104e-09,-0.027011429472759682,-0.0011302057291565143,48.14030131826742,4248
sig_kd_diff,KD 差,10,momentum,all,-0.01606250903476989,0.10702012528115551,-0.15008867717704152,0.0,-0.019771429935338494,-0.011916852932698034,45.19774011299435,4248
sig_obv_mom,OBV 動能,10,momentum,all,-0.016532175683572757,0.10203763805313693,-0.16202036816026155,0.0,-0.02522092443334892,-0.008849467510505336,44.2090395480226,4248
sig_efi,EFI,10,momentum,all,-0.018743250188076443,0.12748462706946972,-0.1470236107594585,0.0,-0.029719298996407222,-0.009187336373834728,45.36252354048964,4248
sig_atr_pct,ATR%,10,momentum,all,-0.03556993962940505,0.2156070525027654,-0.16497577058129315,0.0,-0.05456238030011471,-0.01708451621480628,43.314500941619585,4248
sig_rvol_log,log(RVOL),20,momentum,all,0.010430589240131936,0.10617883204267968,0.09823605175784239,1.8487522623900077e-10,0.00319947579077321,0.01803192748812835,53.45153664302601,4230
sig_vwap_dev,VWAP 偏離,20,momentum,all,0.00849768124808786,0.13909116311823277,0.06109432876669891,7.088455064296895e-05,-0.00599720561824559,0.020761160284208043,54.22369042000944,4238
sig_td_setup,TD Setup,20,momentum,all,0.006772061120174644,0.11313062709248206,0.05986054611576242,9.892958663071383e-05,-0.0012771598922946897,0.013944912277327791,51.93487494100991,4238
sig_macd_hist,MACD Hist,20,momentum,all,0.00654026283484221,0.1362317576219864,0.04800835685457441,0.001788006779528617,-0.006125484860367189,0.016938690957876576,50.14157621519585,4238
sig_bb_pos,BB %B,20,momentum,all,0.004553991591222843,0.123721140268653,0.03680851616250969,0.016607721928055597,-0.008067740855829337,0.014537227454469406,50.94384143463898,4238
sig_rsi_dev,RSI 偏離,20,momentum,all,0.0031556969667818568,0.1345570757049016,0.023452478810572885,0.12689669352045407,-0.011749478662206497,0.015561761199440367,50.87305332704106,4238
sig_ma20_dev,MA20 偏離,20,momentum,all,-0.0037631967109532935,0.13878951782245907,-0.027114415915524773,0.07761118970962988,-0.018180399278621733,0.007943025390014824,49.103350637092966,4238
sig_kd_diff,KD 差,20,momentum,all,-0.004010521552084909,0.10774911896826168,-0.037220921994417774,0.015431211322853411,-0.007512598965941866,-0.0006656027873853568,48.74941009910335,4238
sig_adx_dir,ADX×方向,20,momentum,all,-0.004581652391821803,0.13040367968636377,-0.035134379665061735,0.02223057798341932,-0.018168978143463077,0.0073320083135457,48.7966021708353,4238
sig_squeeze,Squeeze,20,momentum,all,-0.007099542207453288,0.08565573737130705,-0.08288460791222484,7.246163691299046e-08,-0.013936490088682566,-0.0004905175015919775,46.388101983002834,4236
sig_ma_align,MA 排列,20,momentum,all,-0.011501157411414427,0.15190415190724676,-0.07571325251489555,8.584255388743856e-07,-0.0272469620838452,0.004646300438688369,49.62246342614441,4238
sig_supertrend,Supertrend,20,momentum,all,-0.015101032204611646,0.1001588079609573,-0.15077088587653867,0.0,-0.025985349202430494,-0.005533400866503353,42.61444077394997,4238
sig_efi,EFI,20,momentum,all,-0.01910964682339884,0.12281330788206744,-0.15559915413848346,0.0,-0.03094308960907379,-0.009045434987632094,42.80320906087777,4238
sig_obv_mom,OBV 動能,20,momentum,all,-0.022006811309808964,0.09850550676729176,-0.22340691431391335,0.0,-0.031894731221841444,-0.012694555994863937,40.91552619159981,4238
sig_atr_pct,ATR%,20,momentum,all,-0.03899612830894555,0.2187678217692956,-0.17825349264605017,0.0,-0.06376025281861696,-0.018515222908551017,42.21330816422841,4238
sig_vwap_dev,VWAP 偏離,40,momentum,all,0.01662820191657598,0.13625032074733442,0.12204156162987449,2.886579864025407e-15,0.003697721582351161,0.02963725751870802,58.345187292555714,4218
sig_rsi_dev,RSI 偏離,40,momentum,all,0.01583982272307289,0.1309899337575936,0.12092396926000157,5.10702591327572e-15,0.0025698853195041046,0.029228760556763593,56.02181128496918,4218
sig_td_setup,TD Setup,40,momentum,all,0.01292399011107771,0.11148827137028199,0.11592241903324275,6.217248937900877e-14,0.005160268614342509,0.02039710485825284,54.07776197249882,4218
sig_rvol_log,log(RVOL),40,momentum,all,0.012821175422325724,0.10341766982863254,0.1239747080317218,1.1102230246251565e-15,0.006801168144053099,0.01970814624179776,55.58194774346793,4210
sig_bb_pos,BB %B,40,momentum,all,0.010881111644353465,0.12006499833048005,0.09062684209100726,4.267405762092835e-09,-0.00039289529983514335,0.021558971350882285,54.36225699383594,4218
sig_adx_dir,ADX×方向,40,momentum,all,0.007645803138954204,0.12991644169720692,0.05885169759170352,0.00013417875256149792,-0.00653869775683755,0.02154462708741879,53.29540066382171,4218
sig_ma_align,MA 排列,40,momentum,all,0.004493858873259733,0.148899115969623,0.030180561140312798,0.05004860994959226,-0.011674736398080383,0.022367168618873296,53.86439070649597,4218
sig_macd_hist,MACD Hist,40,momentum,all,0.0025640472017338357,0.1300494960835498,0.01971593338652057,0.20044904701884492,-0.009339515460664038,0.013558047033222427,51.39876718824087,4218
sig_ma20_dev,MA20 偏離,40,momentum,all,0.0024030904773456024,0.1376711735297918,0.017455291588878465,0.25700429665012114,-0.011060739571949401,0.015510543349345388,53.03461356092936,4218
sig_kd_diff,KD 差,40,momentum,all,-0.0019887379535552877,0.10744144650667124,-0.018509970018244337,0.2293725500750039,-0.004750758837092702,0.001301627664337514,49.502133712660026,4218
sig_squeeze,Squeeze,40,momentum,all,-0.01129264366690928,0.08274136240784428,-0.13648123910803142,0.0,-0.018408115385380976,-0.004609525117443933,44.30740037950664,4216
sig_efi,EFI,40,momentum,all,-0.01305701093957889,0.12637083263616417,-0.10332297941860913,2.1980861575343624e-11,-0.026403480427826198,-0.0020874528039200604,47.51066856330014,4218
sig_supertrend,Supertrend,40,momentum,all,-0.01605438903642604,0.09863758325262123,-0.16276137864518703,0.0,-0.027454277915967176,-0.005353477650077173,41.72593646277857,4218
sig_obv_mom,OBV 動能,40,momentum,all,-0.020193871743247126,0.10112349419763073,-0.19969515396472778,0.0,-0.03076582728516022,-0.009864664208575666,41.512565196775725,4218
sig_atr_pct,ATR%,40,momentum,all,-0.044109180955566006,0.22169386022754264,-0.19896437776983597,0.0,-0.07133360368711174,-0.021559707016654342,38.762446657183496,4218
sig_rsi_dev,RSI 偏離,60,momentum,all,0.027229663139729077,0.12640735345759802,0.2154120183274225,0.0,0.014551312449803885,0.03970860082574459,59.171033825631255,4198
sig_vwap_dev,VWAP 偏離,60,momentum,all,0.02455185155492111,0.1275899948980354,0.19242771797696145,0.0,0.0126954064019349,0.03682988354958551,60.64792758456407,4198
sig_adx_dir,ADX×方向,60,momentum,all,0.0185732321754666,0.1258577215250135,0.14757324342452263,0.0,0.005216003855928138,0.03231732847370765,55.78847070033349,4198
sig_bb_pos,BB %B,60,momentum,all,0.01736944605961143,0.11629042979044492,0.1493626439502471,0.0,0.007058855346630299,0.027101912140983907,56.2172463077656,4198
sig_td_setup,TD Setup,60,momentum,all,0.01696302503916832,0.10646339296614211,0.15933199728626876,0.0,0.010079230159462922,0.023969492078516685,56.26488804192472,4198
sig_ma_align,MA 排列,60,momentum,all,0.016477843276026163,0.14478002342332716,0.11381296180513831,1.9806378759312793e-13,-0.0009237075928546515,0.033040822719226974,57.14626012386851,4198
sig_rvol_log,log(RVOL),60,momentum,all,0.01209053777571809,0.09949052676173686,0.1215245126269449,4.6629367034256575e-15,0.006674697185849299,0.018779662750862045,54.8926014319809,4190
sig_ma20_dev,MA20 偏離,60,momentum,all,0.010438598209545152,0.12998276935889524,0.0803075535398323,2.0514556009487706e-07,-0.0017471322790531796,0.02291658487615241,54.04954740352549,4198
sig_macd_hist,MACD Hist,60,momentum,all,-5.0582160117646245e-05,0.1261836728896332,-0.00040086137104194166,0.9792804280049174,-0.011847474533162294,0.011299561494811133,49.6903287279657,4198
sig_kd_diff,KD 差,60,momentum,all,-0.0014565081697608417,0.10493036560931963,-0.013880711854028635,0.3685132082917577,-0.00429097396846124,0.0014292723361753596,49.21391138637446,4198
sig_efi,EFI,60,momentum,all,-0.007284779657802542,0.12219802918689499,-0.059614542937193225,0.00011390403878719368,-0.019091910759632784,0.004475722989030724,47.52262982372558,4198
sig_squeeze,Squeeze,60,momentum,all,-0.007495025935632458,0.08265166899522458,-0.09068208817495872,4.581594215125051e-09,-0.013944981670543291,-0.0007025285071589771,45.996186844613916,4196
sig_supertrend,Supertrend,60,momentum,all,-0.016642754063004243,0.09717518260316076,-0.1712654776371155,0.0,-0.02772648421744565,-0.004431446043711232,41.591233920914725,4198
sig_obv_mom,OBV 動能,60,momentum,all,-0.020270357117161634,0.0993077009394593,-0.20411666895318623,0.0,-0.03089810213181183,-0.0097884525119543,41.94854692710815,4198
sig_atr_pct,ATR%,60,momentum,all,-0.056186337329252226,0.21213078319226758,-0.2648664964307749,0.0,-0.08247235492644578,-0.032969983782668424,35.82658408766079,4198
sig_squeeze,Squeeze,1,momentum,ranging,-0.0008692576184363309,0.08726416504526772,-0.009961220828565874,0.5889053682062151,-0.004468488757592918,0.002128063913333142,49.69429347826087,2944
sig_ma_align,MA 排列,1,momentum,ranging,-0.008289104274456614,0.15721691306328844,-0.052723998410525934,0.0042434305184495535,-0.01296428310317048,-0.003455679390299176,47.86150712830957,2946
sig_supertrend,Supertrend,1,momentum,ranging,-0.009336807244552681,0.10349503394247453,-0.09021502664313674,1.027643655504562e-06,-0.012712114688558849,-0.00551585026552323,46.87712152070604,2946
