quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,f_ge_8_ret_3m,f_ge_7_ret_3m,f_le_5_ret_3m,n_ge_8,n_ge_7,n_le_5,top_dec_ret_6m,bot_dec_ret_6m,f_ge_8_ret_6m,f_ge_7_ret_6m,f_le_5_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,f_ge_8_ret_12m,f_ge_7_ret_12m,f_le_5_ret_12m,scenario
2016-06-30,362,-0.009312047360697281,0.11223938188139874,-0.009312047360697281,0.0450165299155677,0.09086456371806766,8,30,271,0.08671772035668239,0.2745829508807879,0.08671772035668239,0.15740855904199044,0.2528736614741899,0.17810846631181046,0.2841485966528589,0.17810846631181046,0.206186467003273,0.2712540859159184,P/B bottom 30%
2016-09-30,364,0.009801851219214688,0.12251127659642749,0.009801851219214688,0.07355211191282107,0.11854134325244473,8,38,255,0.08203581353465696,0.11451789414022777,0.08203581353465696,0.09594309267031902,0.10199685937750086,0.2776865693067325,0.273988776897606,0.2776865693067325,0.20193529900760507,0.24642832808814627,P/B bottom 30%
2016-12-31,369,0.07214588515705209,-0.008323427544382424,0.07214588515705209,0.06385309500927475,-0.0033757752347250247,10,47,253,0.035350867760013206,0.011652159392978687,0.035350867760013206,0.08692851039468266,0.04352000049547104,0.23280244436450767,0.06351534132259533,0.23280244436450767,0.25019089624920093,0.14589678724370425,P/B bottom 30%
2017-03-31,371,0.014110006189878328,0.043515756429895004,0.014110006189878328,0.015273354761074111,0.031776128544696185,15,50,252,0.14789106319152517,0.10910422979367007,0.14789106319152517,0.0993973959571942,0.11002224822667966,0.4358213276488266,0.2555401076471709,0.4358213276488266,0.25804947861961325,0.21324971351046232,P/B bottom 30%
2017-06-30,372,0.08936278546974707,0.057045948076561576,0.08936278546974707,0.09629713919131085,0.0564350765981194,9,42,279,0.2005502183993334,0.08949739756115574,0.2005502183993334,0.15425123177395716,0.09431485055932662,0.36353689624944935,0.2206409128489008,0.36353689624944935,0.32903000580227265,0.22841295576386692,P/B bottom 30%
2017-09-30,374,0.10389139471318559,0.05587024436686419,0.10389139471318559,0.08101881453375244,0.04761854586967912,13,47,270,0.1668985574175084,0.09704982636353067,0.1668985574175084,0.1062445373820615,0.11021351803522554,0.0878620368877003,0.07250839555354026,0.0878620368877003,0.08029429485722625,0.09245993356709624,P/B bottom 30%
2017-12-31,380,0.05463541846967299,0.05928572841590936,0.05463541846967299,0.07386075965120746,0.052584530222239335,6,35,284,0.04878648524714755,0.1276394224232727,0.04878648524714755,0.10997474217286525,0.12430923908183458,0.014053565961083795,0.17424282677280267,0.014053565961083795,0.04685558659562237,0.13232095812113936,P/B bottom 30%
2018-03-31,382,0.1429489735317478,0.06588959691965049,0.1429489735317478,0.10071161368401413,0.06028181760016069,14,43,270,0.06844743418347357,0.055350112365586374,0.06844743418347357,0.04946791660014392,0.026920350989311274,-0.021560564912591944,0.17793343033590764,-0.021560564912591944,0.025387223123803575,0.10003144644354635,P/B bottom 30%
2018-06-30,384,-0.12424821009196256,-0.06366344641474747,-0.12424821009196256,-0.06011187651806603,-0.05482700095989595,14,54,257,-0.14139499099327593,-0.04239296830793407,-0.14139499099327593,-0.05079708721413722,-0.021202205823278246,-0.25053261117314596,-0.003254216793892288,-0.25053261117314596,-0.10158831631746029,0.0091113153027268,P/B bottom 30%
2018-09-30,385,0.02520141526108067,0.0756086391900748,0.02520141526108067,0.03440065345626166,0.06758252990341591,17,56,248,0.00041313952807425455,0.10087521654577059,0.00041313952807425455,-0.02111091105105725,0.08917797385221941,0.06703494253429437,0.2139320484128388,0.06703494253429437,0.08758036557854328,0.2042132375456911,P/B bottom 30%
