combo,description,horizon,universe,mean,std,ir,p,ci_low,ci_high,win_rate,n
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,20,momentum,0.025939474637793256,0.11006373596930746,0.2356768504117176,0.0,0.013456480342526927,0.039960482397411165,58.66482186094777,2891
combo_chip_equal,Chip 20 equal-wt (flipped),20,momentum,0.013332144050339464,0.07334855447270355,0.1817642371575432,4.952815935155286e-10,-0.00028402213708541034,0.025522952619327778,55.75146935348446,1191
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),40,all,0.05049755065674697,0.07861905792623808,0.6423067381973052,0.0,0.034411160688217264,0.06928439956759316,71.24573378839591,1172
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,40,all,0.07217975675865936,0.12235578328388652,0.5899170012355678,0.0,0.05612307249748179,0.08738230321477747,73.82736608381903,3603
combo_tech_only,Tech baseline: RVOL - ATR%,40,all,0.07127999944163418,0.12322077595609743,0.5784738725150592,0.0,0.05580567741463218,0.0865063514278606,74.38245906189287,3603
combo_chip_equal,Chip 20 equal-wt (flipped),40,all,0.02384066467149275,0.04684238901525976,0.5089549267806607,0.0,0.014656429950754144,0.033030842795370954,69.45392491467577,1172
combo_ols_h40,"OLS optimal (h=40d, in-sample)",40,all,0.037375726537617025,0.09639484794310105,0.38773572794760547,0.0,0.016105794647016038,0.05750061244484241,62.728062554300614,1151
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,40,all,0.024280193621210918,0.089119089143748,0.27244660885219846,0.0,0.014556095682588087,0.03435975449612475,59.04446285556476,3621
combo_tech50_chip50,Tech 50% + Chip 50%,40,all,0.024355264049377157,0.09007735930325757,0.27038163904629886,0.0,0.014456861744014162,0.034364737966953926,58.87876277271472,3621
combo_tech70_chip30,Tech 70% + Chip 30%,40,all,0.024063815161557242,0.09169505539522832,0.2624330729485495,0.0,0.013853008806692666,0.034154736744427414,57.88456227561447,3621
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,40,momentum,0.05814392348860246,0.1416994732610351,0.4103326720311178,0.0,0.03780057954705566,0.07892789982139765,68.12957157784744,2871
combo_tech_only,Tech baseline: RVOL - ATR%,40,momentum,0.06157749470358182,0.15194560449364397,0.4052601252190725,0.0,0.03889617408119454,0.08356157214535224,68.79136189481017,2871
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),40,momentum,0.01878499329244505,0.06379697610490663,0.2944495874154809,0.0,0.008086193240073047,0.03139820293808377,59.00939368061486,1171
combo_chip_equal,Chip 20 equal-wt (flipped),40,momentum,0.012540657241439808,0.06934140683753832,0.18085380457915456,8.371607851387353e-10,0.00043172257295361093,0.026255806926050413,54.824935952177626,1171
combo_tech50_chip50,Tech 50% + Chip 50%,40,momentum,0.014919236114375409,0.10773138063795873,0.1384855185743222,1.5298873279334657e-13,0.002139824607207607,0.02854794698753576,54.58028561476838,2871
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,40,momentum,0.014652329072862368,0.1064561807592298,0.13763718525654514,2.142730437526552e-13,0.0020240673376411967,0.027911821477065626,54.78927203065134,2871
combo_tech70_chip30,Tech 70% + Chip 30%,40,momentum,0.015070562536689761,0.11005248230070737,0.1369397783823809,2.8177460364986473e-13,0.0016528874571930558,0.029225793846603683,54.4757924068269,2871
combo_tech_only,Tech baseline: RVOL - ATR%,60,all,0.07644518751673136,0.11318361309790113,0.6754086163569287,0.0,0.060634355703615875,0.09126185669707751,78.59335752162991,3583
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,60,all,0.07678850102888744,0.11435511285446942,0.6714916291203351,0.0,0.061232878875236645,0.09194442291884522,77.83979905107452,3583
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),60,all,0.051991338924909786,0.07834273236690681,0.6636395917545472,0.0,0.035599593835831556,0.07196383567535666,71.35416666666666,1152
combo_ols_h60,"OLS optimal (h=60d, in-sample)",60,all,0.05145570231360211,0.09902395035457606,0.5196288587695619,0.0,0.026862282638856302,0.07285339947935918,67.46242263483643,1131
combo_chip_equal,Chip 20 equal-wt (flipped),60,all,0.02203998237831263,0.04361832403446414,0.505291820953464,0.0,0.014140320556124505,0.031089006098666442,69.87847222222221,1152
