theme,pair,signal,horizon_d,segment,n,n_b_weak,n_b_strong,b_weak_signal_hit_div,b_strong_signal_hit_conv,overall_acc,div_rate_baseline,conv_rate_baseline
asic_design_service,3443_創意_vs_3661_世芯,S3_rs_slope_5d,60,pre_ai_2021-2022,426,204,222,0.4902,0.536,0.3685,0.4296,0.507
asic_design_service,3443_創意_vs_3661_世芯,S3_rs_slope_5d,60,ai_era_2023-2025,723,376,347,0.3963,0.5245,0.3167,0.3887,0.5394
asic_design_service,3443_創意_vs_3661_世芯,S4_foreign_diff,20,pre_ai_2021-2022,422,246,176,0.4878,0.4148,0.346,0.4621,0.3981
asic_design_service,3443_創意_vs_3661_世芯,S4_foreign_diff,20,ai_era_2023-2025,723,335,388,0.4478,0.4562,0.3887,0.397,0.4606
asic_design_service,3443_創意_vs_3661_世芯,S4_foreign_diff,60,pre_ai_2021-2022,422,246,176,0.439,0.4943,0.3294,0.4336,0.5024
asic_design_service,3443_創意_vs_3661_世芯,S4_foreign_diff,60,ai_era_2023-2025,723,335,388,0.3821,0.5309,0.3195,0.3887,0.5394
silicon_wafer,6488_環球晶_vs_5483_中美晶,S1_short_ratio_diff,20,pre_ai_2021-2022,426,61,359,0.5082,0.4178,0.439,0.2559,0.3756
silicon_wafer,6488_環球晶_vs_5483_中美晶,S1_short_ratio_diff,20,ai_era_2023-2025,723,263,451,0.3194,0.2572,0.3154,0.3375,0.2407
silicon_wafer,6488_環球晶_vs_5483_中美晶,S1_short_ratio_diff,60,pre_ai_2021-2022,426,61,359,0.377,0.6351,0.4225,0.2418,0.6009
silicon_wafer,6488_環球晶_vs_5483_中美晶,S1_short_ratio_diff,60,ai_era_2023-2025,723,263,451,0.4411,0.3215,0.3375,0.4232,0.3126
silicon_wafer,6488_環球晶_vs_5483_中美晶,S2_sbl_diff,20,pre_ai_2021-2022,407,204,203,0.2157,0.4138,0.3882,0.2236,0.3931
silicon_wafer,6488_環球晶_vs_5483_中美晶,S2_sbl_diff,20,ai_era_2023-2025,723,403,320,0.2953,0.1812,0.3015,0.3375,0.2407
silicon_wafer,6488_環球晶_vs_5483_中美晶,S2_sbl_diff,60,pre_ai_2021-2022,407,204,203,0.1716,0.5961,0.3292,0.2408,0.5995
silicon_wafer,6488_環球晶_vs_5483_中美晶,S2_sbl_diff,60,ai_era_2023-2025,723,403,320,0.4367,0.2375,0.3098,0.4232,0.3126
silicon_wafer,6488_環球晶_vs_5483_中美晶,S3_rs_slope_5d,20,pre_ai_2021-2022,426,207,219,0.2077,0.3836,0.3052,0.2559,0.3756
silicon_wafer,6488_環球晶_vs_5483_中美晶,S3_rs_slope_5d,20,ai_era_2023-2025,723,361,362,0.2992,0.2431,0.3195,0.3375,0.2407
silicon_wafer,6488_環球晶_vs_5483_中美晶,S3_rs_slope_5d,60,pre_ai_2021-2022,426,207,219,0.256,0.5616,0.2911,0.2418,0.6009
