period,score,label,horizon,universe,top_n,direction,mean_ret,std_ret,sharpe,win_rate,n_days
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),5,all,20,bot,0.01198827302865328,0.04855931047578452,3.919082306423206,0.6047244094488189,1270
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),10,all,20,top,0.004419435587858614,0.0383592855769925,1.8289278319232747,0.5486166007905139,1265
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),10,all,20,bot,0.01899868735733229,0.0673034352013612,4.4811206293213,0.6229249011857707,1265
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),20,all,20,top,0.009244062921822527,0.049481976546830675,2.9656242496896006,0.5641434262948207,1255
out_of_sample,combo_meanrev_pure,純反向均值回歸 (6 個 flipped),20,all,20,bot,0.028093971749087832,0.09165179349781677,4.866003801001317,0.6207171314741036,1255
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,1,all,20,top,0.00266924945340192,0.0160157609124855,2.6457076673982094,0.6036106750392465,1274
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,1,all,20,bot,-0.0015209222726448965,0.010066630044556935,-2.3984086506010147,0.3940345368916798,1274
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,5,all,20,top,0.004847013941987957,0.03399090521611454,2.26366319053192,0.5606299212598426,1270
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,5,all,20,bot,-0.002545210032378104,0.019974507630529114,-2.022776101816955,0.3984251968503937,1270
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,10,all,20,top,0.009344574739808329,0.047711304400538355,3.10912742962986,0.6031620553359683,1265
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,10,all,20,bot,-0.0008316781381886144,0.02844823746344971,-0.4640878424872631,0.45217391304347826,1265
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,20,all,20,top,0.017716486778511405,0.06807434171900624,4.131373166869836,0.5856573705179283,1255
out_of_sample,combo_rvol_only,只用 RVOL（baseline）,20,all,20,bot,0.0053186110843697915,0.04122216172047112,2.0481782122347005,0.5131474103585657,1255
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,1,all,20,top,0.0015737900256262115,0.010688693891752104,2.337342840468442,0.5816326530612245,1274
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,1,all,20,bot,-0.0012493098404047084,0.010334573862752817,-1.9190127384485325,0.41444270015698587,1274
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,5,all,20,top,0.0037594931663505306,0.024857450950800396,2.4008939597621954,0.5913385826771653,1270
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,5,all,20,bot,-0.002039697653967518,0.02197554583392289,-1.473419440757505,0.4377952755905512,1270
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,10,all,20,top,0.007109399696527276,0.035615428558743466,3.1688014429383906,0.6221343873517786,1265
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,10,all,20,bot,-0.000520028635133873,0.02998018442787694,-0.27535516597767773,0.4608695652173913,1265
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,20,all,20,top,0.012510678409672944,0.050071667187084556,3.9663321392147477,0.6215139442231076,1255
out_of_sample,combo_squeeze_rvol,Squeeze + RVOL,20,all,20,bot,0.006085449761346211,0.04337148258146633,2.2273511154603147,0.5314741035856574,1255
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),1,all,20,top,0.0006884887112282841,0.015291405896003526,0.7147426166464438,0.565149136577708,1274
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),1,all,20,bot,-0.0025003192819715516,0.015569104646957604,-2.5493654908340555,0.41365777080062793,1274
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),5,all,20,top,0.0056101301859002506,0.03449225225666043,2.5819727602837155,0.6173228346456693,1270
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),5,all,20,bot,-3.790561488939935e-05,0.03505023138730838,-0.017167732078365482,0.48031496062992124,1270
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),10,all,20,top,0.008853070035381766,0.046031098662620194,3.0531126564761415,0.6094861660079052,1265
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),10,all,20,bot,0.00404676313826942,0.048035286096444384,1.3373579818570123,0.5233201581027668,1265
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),20,all,20,top,0.017321856629923783,0.06252846230928122,4.397612529987757,0.6135458167330677,1255
out_of_sample,combo_counter_trend_rvol,逆勢撈底 (-MA20dev + RVOL),20,all,20,bot,0.012972620647770657,0.06951625440787439,2.9623858516947053,0.552988047808765,1255
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,1,all,20,top,0.0004697774467216561,0.013150501829484195,0.5670875431319484,0.5580847723704867,1274
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,1,all,20,bot,-0.0022606379485699585,0.0103752903342364,-3.458844402571524,0.41444270015698587,1274
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,5,all,20,top,0.003796663303356001,0.029248312666743506,2.0606372121999135,0.5960629921259842,1270
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,5,all,20,bot,-0.001491958183544451,0.024191876936235566,-0.9790105159439968,0.4779527559055118,1270
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,10,all,20,top,0.006697393322731063,0.03997995403512137,2.659278269619524,0.5897233201581028,1265
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,10,all,20,bot,0.0013649043935708004,0.03554843280499488,0.6095116949730103,0.5288537549407115,1265
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,20,all,20,top,0.015461610531468543,0.05720656953324305,4.2905117368764465,0.6207171314741036,1255
out_of_sample,combo_momflip_volpos,動能 flip + 量能正向,20,all,20,bot,0.0078087510745780625,0.05217966456344749,2.3756396557383628,0.5490039840637451,1255
