feature,n_valid,ic_60d,ic_40d,ic_20d,hit_top_decile_60d,best_lag_60d,best_lag_ic,abs_ic_60d
foreign_dealer_net,2583,0.0321257130855631,0.020756934019036184,0.026260940910993045,0.19305019305019305,54,0.058596604211299044,0.0321257130855631
ad_diff,3196,0.03172333293065324,0.054640792936103556,0.07885379487339406,0.246875,0,0.03172333293065324,0.03172333293065324
us_unemp_chg_3m,3196,-0.029551246348483797,-0.09062873490376537,-0.11813840153037203,0.2236503856041131,60,0.10031176770314243,0.029551246348483797
breadth_thrust_10d,3196,0.029210091601630645,0.07324257271204512,0.11631790455167329,0.190625,12,-0.04105225176385147,0.029210091601630645
trust_sell_streak,3196,0.028448866103104417,0.0665894135987025,0.05439807095716186,0.19168466522678185,60,0.11197129916026573,0.028448866103104417
usdjpy_chg_2w,3196,-0.02707741354451838,-0.01460827802011216,-0.01730877144688033,0.246875,46,-0.1428095296758257,0.02707741354451838
mcclellan_oscillator,3196,0.022706571886446994,0.06495638816044287,0.1060067769054967,0.190625,14,-0.060124557071053374,0.022706571886446994
jnk_dollar_flow_z_252d,3196,0.020380588894648704,-0.01500718315869575,-0.03006794707690761,0.24610591900311526,45,0.054121893650564704,0.020380588894648704
new_lows_52w,3196,-0.017577328339141263,-0.07052179649370978,-0.09322544612822363,0.296875,59,0.041558564528237335,0.017577328339141263
sbl_change_4w_pct,3173,-0.015949449354216896,-0.01934483379364074,-0.08081546409046064,0.22012578616352202,57,0.04468582382015689,0.015949449354216896
new_high_minus_low,3196,-0.011753705473353061,0.026007707500566413,0.08684678797584551,0.27692307692307694,15,-0.06517745632037811,0.011753705473353061
hyg_to_lqd_chg_4w,3196,-0.011379505559774511,0.004919952384419101,-0.03267047895939649,0.178125,37,-0.1270429008469055,0.011379505559774511
eem_to_spy_chg_4w,3196,0.01077280346108707,-0.04102473096600364,-0.044243114155494916,0.33125,37,0.1034524252374506,0.01077280346108707
fed_bs_chg_4w,3196,0.009273115121144739,-0.0071921609464353775,0.002753498449598697,0.12074303405572756,60,-0.12328368981509935,0.009273115121144739
yield_curve_10y_3m,3196,-0.007241480412746133,-0.003653354000297436,0.013626136697020211,0.34234234234234234,43,-0.06065305242275771,0.007241480412746133
