score,label,liquidity,horizon,decile,mean_ret,median_ret,win_rate,n_days
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,6,0.01124151688153816,0.015484979004068242,0.6057614826752619,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,7,0.011141670763324103,0.014008920951371098,0.6003223207091055,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,8,0.011585255072824317,0.014563958118601776,0.6051571313456889,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,9,0.013338908189573914,0.015890829942955008,0.604955680902498,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,10,0.017649488936790504,0.01778103430161623,0.6037469782433521,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,1,0.028546653822604535,0.021384213478076203,0.580625507717303,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,2,0.02526142366264727,0.02595983574345033,0.5993095044679123,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,3,0.026555320072810844,0.03235091882990448,0.6216490658001624,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,4,0.02725775190532127,0.031733295630928596,0.6267262388302194,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,5,0.029745413778913096,0.03352196697760379,0.6417546709991877,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,6,0.03079580078739381,0.034252385757059495,0.6385052802599512,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,7,0.03219217289317253,0.03698449961384005,0.6374898456539398,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,8,0.03418333196519381,0.038176808613956004,0.6320064987814785,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,9,0.03818447193306447,0.04235553416464467,0.6421608448415922,4924
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,10,0.04693380910448058,0.04959635686945789,0.6387083671811535,4924
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,1,0.00791619472927203,0.010191698923202333,0.5738543371522095,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,2,0.005123614111828731,0.008483363129939359,0.5724222585924713,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,3,0.005421832549135752,0.008251578604169214,0.5701718494271686,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,4,0.005859644225142514,0.008456706821550513,0.5718085106382979,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,5,0.0053803621961526025,0.008433301638447938,0.5787643207855974,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,6,0.0056166144721010655,0.007777040693949895,0.5824468085106383,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,7,0.005695030701943845,0.0076481306531447505,0.5857201309328969,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,8,0.005679584420471013,0.007980476709778334,0.5816284779050737,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,9,0.00476423283465052,0.008376415546903323,0.5851063829787234,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,10,0.005771290854921214,0.008473115008625576,0.5912438625204582,4888
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,1,0.015097704611474394,0.01585583508108268,0.5781057810578106,4878
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,2,0.009747100389521543,0.010883006818579056,0.5682656826568265,4878
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,3,0.010108505179367431,0.011144258679669186,0.5756457564575646,4878
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,4,0.01063585129845829,0.013120611656711795,0.5897908979089791,4878
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,5,0.010400866883655418,0.015620341169211661,0.6016810168101681,4878
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,6,0.010894450781634575,0.013375869642188329,0.5979909799097991,4878
