stock_id,drop_wk,reentry_wk,gap_days,reentry_fwd_20d,reentry_fwd_60d
5483,2022-11-18,2022-11-25,7,-0.09177215189873422,0.009493670886076
5608,2022-01-14,2022-02-11,28,0.1979950141068052,0.07142858535860452
6015,2021-08-13,2021-08-27,14,-0.1019900344881105,-0.15671636011071366
6104,2023-08-25,2023-09-08,14,-0.10212765957446812,0.11914893617021272
6104,2023-09-22,2023-09-28,6,0.019323671497584627,0.16908212560386482
6147,2021-07-16,2021-07-23,7,0.015256567231633378,-0.13314838664756456
6150,2021-07-09,2021-07-16,7,-0.010791366906474864,-0.014388489208633115
6150,2021-07-23,2021-08-13,21,0.0036363636363636598,0.18545454545454554
6150,2021-08-27,2021-09-10,14,-0.007246376811594235,0.37681159420289845
6176,2023-07-28,2023-08-11,14,0.05439330543933063,0.06694560669456062
6187,2025-08-08,2025-08-29,21,-0.033419023136246784,-0.10411311053984573
6202,2021-05-14,2021-05-28,14,0.0623678818292257,0.3107822621574525
6202,2021-06-04,2021-06-11,7,0.10476190476190483,0.19999999999999996
6206,2025-04-02,2025-04-11,9,0.05633802816901401,0.08920187793427226
6206,2025-08-29,2025-09-12,14,0.0,-0.15094339622641506
6271,2021-10-08,2021-10-22,14,0.23092374531319626,0.096385528347388
6271,2023-04-21,2023-05-05,14,0.055072473100943986,-0.06376812977461332
6411,2021-04-29,2021-05-07,8,-0.07913668705696031,0.06834524754215732
6411,2023-04-14,2023-04-21,7,-0.0046511627906976605,0.05581395348837215
6415,2021-05-14,2021-05-28,14,0.044349070100142995,0.05579399141630903
6415,2021-09-24,2021-10-08,14,0.1633663366336633,0.18811881188118806
6415,2021-10-15,2021-10-22,7,0.22663551401869153,-0.09929906542056077
6415,2021-11-05,2021-11-26,21,0.07986501687289094,-0.12260967379077614
6415,2022-09-30,2022-10-07,7,-0.1293478260869565,-0.01413043478260867
6415,2024-10-11,2024-10-18,7,-0.13287401574803148,-0.2667322834645669
6415,2024-10-25,2024-11-01,7,-0.16035856573705176,-0.2360557768924303
6446,2025-01-10,2025-01-17,7,-0.08192095395053745,-0.2959039762193518
6456,2020-01-10,2020-01-31,21,-0.03069305419921875,-0.057425772789681306
6485,2021-04-09,2021-04-16,7,-0.3763359011584566,0.1450381679389312
6485,2021-05-14,2021-05-28,14,0.36448598130841114,0.30373831775700944
6485,2021-06-04,2021-06-18,14,0.21176470588235285,0.11372549019607847
6491,2023-02-03,2023-03-03,28,-0.06719813669315566,-0.16628701001035917
6491,2024-01-05,2024-01-19,14,0.07764390896921025,0.37617135207496655
6494,2021-08-27,2021-09-17,21,-0.013745704467353903,0.05154639175257736
6494,2021-09-24,2021-10-01,7,0.08571428571428563,0.11785714285714288
6494,2021-10-22,2021-10-29,7,0.05190311418685112,0.04498269896193774
6494,2021-11-12,2021-11-26,14,0.023026315789473673,-0.003289473684210509
6505,2025-04-11,2025-04-25,14,0.12571432931082582,0.10999995640345972
6505,2025-05-02,2025-05-09,7,-0.05395226583453616,-0.021329949979122076
6530,2025-01-10,2025-01-17,7,-0.06666668978604406,-0.16515153827089257
6531,2020-07-03,2020-07-10,7,0.00340136054421758,-0.24716553287981857
6531,2022-04-22,2022-05-20,28,-0.15619389587073607,-0.24596050269299818
