stage,signal,horizon,n,mean_fwd,mean_car,t_car,median_car,win_rate,is_window,oos_year,is_n,is_car10,is_t,oos_n,oos_car10,oos_t,oos_sign_positive,regime,vol_regime,car_10d_mean,t_car_10d,metric,value,scope,trigger_car10,baseline_car10,edge_over_baseline,t_trigger
4_op,2022,,,,,,,,,,,,,,,,,,,,,bvh_days_year,161.0,,,,,
4_op,2023,,,,,,,,,,,,,,,,,,,,,bvh_days_year,4.0,,,,,
4_op,2024,,,,,,,,,,,,,,,,,,,,,bvh_days_year,0.0,,,,,
4_op,2025,,,,,,,,,,,,,,,,,,,,,bvh_days_year,56.0,,,,,
4_op,2026,,,,,,,,,,,,,,,,,,,,,bvh_days_year,0.0,,,,,
4b_covid_strip,S1_no_response,,11062.0,,,,,,,,,,,,,,,,,,,,,exclude_2020,0.009049890716249995,0.007085442203354381,0.0019644485128956137,11.415936406944914
4b_covid_strip,S2_intraday_fade,,3224.0,,,,,,,,,,,,,,,,,,,,,exclude_2020,0.0029330980323078195,0.007085442203354381,-0.004152344171046561,1.9458785306275297
4b_covid_strip,S3_t1_breakdown,,990.0,,,,,,,,,,,,,,,,,,,,,exclude_2020,0.003996871471037337,0.007085442203354381,-0.0030885707323170444,1.5227161911080709
4b_covid_strip,S1_no_response,,1533.0,,,,,,,,,,,,,,,,,,,,,year_2015,0.040788642526061326,0.024961385085804717,0.01582725744025661,18.34948572330402
4b_covid_strip,S1_no_response,,160.0,,,,,,,,,,,,,,,,,,,,,year_2016,0.03165176161282264,0.010693736170918637,0.020958025441904005,3.807200937907916
4b_covid_strip,S1_no_response,,393.0,,,,,,,,,,,,,,,,,,,,,year_2018,0.000633216536200235,0.01072682886263404,-0.010093612326433805,0.18313885869549887
4b_covid_strip,S1_no_response,,3202.0,,,,,,,,,,,,,,,,,,,,,year_2020,0.027276308928876215,0.031089734251850132,-0.003813425322973917,15.335113409960977
4b_covid_strip,S1_no_response,,6325.0,,,,,,,,,,,,,,,,,,,,,year_2022,0.006336133213746856,0.0059215194348196405,0.00041461377892721557,6.234788785482019
4b_covid_strip,S1_no_response,,2651.0,,,,,,,,,,,,,,,,,,,,,year_2025,-0.0029334355606231394,-0.0019933433881835225,-0.0009400921724396169,-1.8175139076507296
4b_covid_strip,S2_intraday_fade,,342.0,,,,,,,,,,,,,,,,,,,,,year_2015,0.044246610820291424,0.024961385085804717,0.019285225734486707,8.870041045799843
4b_covid_strip,S2_intraday_fade,,128.0,,,,,,,,,,,,,,,,,,,,,year_2018,0.0007686861132743792,0.01072682886263404,-0.00995814274935966,0.12460042685072137
4b_covid_strip,S2_intraday_fade,,1239.0,,,,,,,,,,,,,,,,,,,,,year_2020,0.029512886791831037,0.031089734251850132,-0.001576847460019095,10.681044429190344
4b_covid_strip,S2_intraday_fade,,2132.0,,,,,,,,,,,,,,,,,,,,,year_2022,0.00020467071656936063,0.0059215194348196405,-0.00571684871825028,0.11378807280891041
4b_covid_strip,S2_intraday_fade,,593.0,,,,,,,,,,,,,,,,,,,,,year_2025,-0.011406922780040945,-0.0019933433881835225,-0.009413579391857423,-3.269216202981156
4b_covid_strip,S3_t1_breakdown,,35.0,,,,,,,,,,,,,,,,,,,,,year_2015,0.03555950229733563,0.024961385085804717,0.010598117211530911,1.8343313034375934
4b_covid_strip,S3_t1_breakdown,,46.0,,,,,,,,,,,,,,,,,,,,,year_2018,-0.006327682080173699,0.01072682886263404,-0.017054510942807737,-0.6274200734426284
4b_covid_strip,S3_t1_breakdown,,186.0,,,,,,,,,,,,,,,,,,,,,year_2020,0.12940462521048784,0.031089734251850132,0.09831489095863771,12.39292568830199
4b_covid_strip,S3_t1_breakdown,,796.0,,,,,,,,,,,,,,,,,,,,,year_2022,-0.0006542021339666226,0.0059215194348196405,-0.006575721568786263,-0.24308280871564084
4b_covid_strip,S3_t1_breakdown,,111.0,,,,,,,,,,,,,,,,,,,,,year_2025,0.031975589727252805,-0.0019933433881835225,0.03396893311543633,3.029993996308627
