date,Adj Close,Close,High,Low,Open,Volume,ret,nav
2017-12-19,10467.33984375,10467.33984375,10544.0,10452.080078125,10508.330078125,2190500,-0.003729083392789212,1.348534742909738
2017-12-20,10504.51953125,10504.51953125,10514.3095703125,10470.3603515625,10470.3603515625,2155800,0.003551970993107556,1.3533246991997512
2017-12-21,10488.9697265625,10488.9697265625,10545.7802734375,10488.9697265625,10526.9697265625,2116400,-0.0014802966133996565,1.3513213772306958
2017-12-22,10537.26953125,10537.26953125,10537.26953125,10486.51953125,10503.099609375,2049900,0.004604818771207331,1.3575439672745013
2017-12-25,10522.490234375,10522.490234375,10556.650390625,10514.5400390625,10546.6396484375,1928200,-0.0014025736772861341,1.3556399118402436
2017-12-26,10421.91015625,10421.91015625,10528.919921875,10408.1201171875,10526.1396484375,2037800,-0.00955858127541176,1.3426819175627265
2017-12-27,10486.669921875,10486.669921875,10497.76953125,10419.8095703125,10419.8095703125,2103300,0.006213809623580646,1.3510250873834855
2017-12-28,10567.6396484375,10567.6396484375,10592.0400390625,10513.2900390625,10513.2900390625,2223700,0.0077212048405947975,1.361456628827956
2017-12-29,10642.8603515625,10642.8603515625,10659.98046875,10590.9501953125,10590.9501953125,2411700,0.0071180230995218086,1.3711475085609504
2018-01-02,10710.73046875,10710.73046875,10710.73046875,10650.76953125,10664.8203125,2375900,0.0063770560681588595,1.37989139310076
2018-01-03,10801.5703125,10801.5703125,10813.16015625,10759.6103515625,10759.6103515625,2964800,0.00848119967307892,1.3915945275328105
2018-01-04,10848.6298828125,10848.6298828125,10853.4599609375,10794.25,10834.580078125,3048500,0.00435673415540716,1.3976573349413903
2018-01-05,10879.7998046875,10879.7998046875,10879.7998046875,10815.6796875,10856.919921875,3028400,0.0028731666774237663,1.4016730374226007
2018-01-08,10915.75,10915.75,10918.4697265625,10869.1201171875,10899.08984375,3246900,0.003304306692942127,1.4063045950214728
2018-01-09,10914.8896484375,10914.8896484375,10931.0,10860.76953125,10922.349609375,2933100,-7.881744841164995e-05,1.4061937536816036
2018-01-10,10831.08984375,10831.08984375,10934.75,10819.25,10915.3203125,3224000,-0.007677567743389568,1.3953976058773818
2018-01-11,10810.0595703125,10810.0595703125,10844.080078125,10770.099609375,10824.5400390625,2736200,-0.0019416581102071895,1.3926882207989664
2018-01-12,10883.9599609375,10883.9599609375,10899.98046875,10818.240234375,10818.240234375,2900300,0.006836261182866288,1.4022090012226494
2018-01-15,10956.3095703125,10956.3095703125,10962.5498046875,10911.8896484375,10932.3701171875,2672500,0.006647360853463402,1.4115299904457508
2018-01-16,10986.1103515625,10986.1103515625,10986.1103515625,10920.5,10955.8095703125,2943900,0.0027199652454827916,1.41536930296272
2018-01-17,11004.7998046875,11004.7998046875,11030.2197265625,10942.9501953125,10976.1298828125,3337400,0.0017011892769074333,1.417777114043784
2018-01-18,11071.5703125,11071.5703125,11122.8203125,11048.0595703125,11048.0595703125,3069900,0.00606739868035211,1.4263793330345667
2018-01-19,11150.849609375,11150.849609375,11150.849609375,11095.849609375,11123.580078125,2661500,0.007160619012236413,1.4365930920053551
2018-01-22,11231.4599609375,11231.4599609375,11231.4599609375,11142.3798828125,11169.7900390625,3222600,0.007229077100522119,1.4469783342295393
2018-01-23,11253.1103515625,11253.1103515625,11270.1796875,11201.51953125,11243.490234375,3399800,0.0019276559503660362,1.4497676106255675
2018-01-24,11152.16015625,11152.16015625,11228.7099609375,11107.3203125,11228.7099609375,3171100,-0.008970870466802339,1.43676193318368
2018-01-25,11165.9501953125,11165.9501953125,11268.6103515625,11131.849609375,11154.3603515625,3457900,0.0012365352424366094,1.4385385399490531
2018-01-26,11147.099609375,11147.099609375,11178.2998046875,11089.48046875,11152.5302734375,2701400,-0.0016882204924587585,1.4361099697067194
2018-01-29,11221.8095703125,11221.8095703125,11246.1796875,11161.830078125,11202.26953125,2450400,0.006702188331991543,1.4457350491891445
2018-01-30,11076.7802734375,11076.7802734375,11189.5703125,11076.7802734375,11189.5703125,2709200,-0.01292387791525862,1.4270505459156135
2018-01-31,11103.7900390625,11103.7900390625,11158.2900390625,11007.8896484375,11054.3603515625,2642900,0.0024384130548991134,1.4305302845967751
2018-02-01,11160.25,11160.25,11212.099609375,11139.400390625,11139.400390625,2257600,0.005084746806169438,1.4378041688925072
2018-02-02,11126.23046875,11126.23046875,11153.3203125,11070.4296875,11151.650390625,2023400,-0.003048276808315209,1.4334213437895733
2018-02-05,10946.25,10946.25,10970.2998046875,10855.4296875,10970.2998046875,2393600,-0.016176230508212708,1.410233989717041
2018-02-06,10404.0,10404.0,10761.009765625,10300.400390625,10761.009765625,5183600,-0.04953751284686536,1.340374505334347
2018-02-07,10551.5400390625,10551.5400390625,10697.8203125,10547.6396484375,10547.6396484375,3145300,0.0141810879529507,1.359382474084386
2018-02-08,10528.51953125,10528.51953125,10609.5,10512.9296875,10559.4404296875,2287100,-0.0021817201780286455,1.3564166819110177
2018-02-09,10371.75,10371.75,10392.3095703125,10189.0400390625,10371.009765625,2895400,-0.014889988168297341,1.3362196535660815
2018-02-12,10421.08984375,10421.08984375,10473.509765625,10416.009765625,10429.08984375,2387100,0.004757137778099274,1.3425762345598995
2018-02-21,10714.4404296875,10714.4404296875,10720.48046875,10559.7900390625,10559.7900390625,2770600,0.028149703182286157,1.380369357062352
2018-02-22,10662.3798828125,10662.3798828125,10698.4697265625,10620.7998046875,10698.4697265625,2385800,-0.004858914211772647,1.3736622607758264
2018-02-23,10794.5498046875,10794.5498046875,10799.2900390625,10688.9697265625,10688.9697265625,2623500,0.012395911919069302,1.3906900571669532
2018-02-26,10836.7001953125,10836.7001953125,10890.6904296875,10827.98046875,10827.98046875,2295300,0.003904784487325008,1.3961204021288558
2018-02-27,10815.4697265625,10815.4697265625,10937.900390625,10815.4697265625,10896.16015625,2697700,-0.0019591267053030714,1.3933852253652268
2018-03-01,10785.7900390625,10785.7900390625,10805.5498046875,10709.6904296875,10779.099609375,2508100,-0.0027441884865256894,1.3895615136724846
2018-03-02,10698.169921875,10698.169921875,10719.2900390625,10638.98046875,10719.2900390625,2135500,-0.008123662417882205,1.378273185026528
2018-03-05,10642.900390625,10642.900390625,10756.3701171875,10642.900390625,10727.4501953125,2203900,-0.005166260365428332,1.3711526668979928
2018-03-06,10784.33984375,10784.33984375,10784.33984375,10711.150390625,10711.150390625,1905900,0.01328955904253215,1.389374681221059
2018-03-07,10745.3203125,10745.3203125,10818.0498046875,10745.3203125,10762.990234375,2106300,-0.0036181659531634436,1.3843476930532777
2018-03-08,10823.240234375,10823.240234375,10852.330078125,10788.4296875,10788.4296875,2535200,0.007251521556258966,1.3943863201908109
2018-03-09,10864.8203125,10864.8203125,10882.759765625,10845.3798828125,10847.740234375,2457800,0.0038417402944581625,1.3997431903031292
2018-03-12,11002.099609375,11002.099609375,11016.5595703125,10908.990234375,10908.990234375,2759800,0.012635210976941869,1.4174292408261469
2018-03-13,11095.6298828125,11095.6298828125,11095.6298828125,11014.8701171875,11022.150390625,2433800,0.00850112948966597,1.4294789903448488
2018-03-14,11038.7998046875,11038.7998046875,11070.2900390625,11015.4697265625,11063.73046875,2331000,-0.005121843349608413,1.422157422884746
2018-03-15,11018.4501953125,11018.4501953125,11052.1103515625,11008.1796875,11039.599609375,2124400,-0.0018434621276816054,1.4195357295360567
2018-03-16,11027.7001953125,11027.7001953125,11054.8603515625,10933.4599609375,11010.240234375,3071600,0.0008395010038648731,1.4207274312060243
2018-03-19,11046.900390625,11046.900390625,11066.0,10983.25,11004.8095703125,2206800,0.0017410878943426855,1.4232010425376578
2018-03-20,11010.83984375,11010.83984375,11020.7802734375,10981.0400390625,11016.849609375,2159800,-0.0032643135721223127,1.4185552680586435
2018-03-21,11011.0703125,11011.0703125,11072.3095703125,11011.0703125,11037.349609375,2360400,2.0931078216657184e-05,1.4185849599499138
2018-03-22,11005.83984375,11005.83984375,11120.2001953125,10975.330078125,11045.900390625,2637400,-0.00047501910364355915,1.4179111049937962
2018-03-23,10823.330078125,10823.330078125,10863.669921875,10758.0595703125,10863.669921875,2618800,-0.01658299304878974,1.3943978949958824
2018-03-26,10840.0498046875,10840.0498046875,10840.0498046875,10781.4296875,10783.5703125,2048600,0.0015447857952972655,1.3965519410570644
2018-03-27,10986.7900390625,10986.7900390625,10986.7900390625,10901.6904296875,10901.6904296875,2297400,0.013536859794827327,1.4154568688793479
2018-03-28,10865.66015625,10865.66015625,10939.9697265625,10853.48046875,10939.9697265625,1953100,-0.011025047569111046,1.399851389567928
2018-03-29,10845.919921875,10845.919921875,10889.599609375,10815.4599609375,10855.66015625,2158300,-0.0018167542598546138,1.397308203592767
2018-03-30,10906.2197265625,10906.2197265625,10969.2197265625,10905.2998046875,10905.2998046875,2263300,0.00555967636879573,1.4050767849922061
2018-04-02,10888.26953125,10888.26953125,10969.8798828125,10882.0498046875,10936.259765625,2071400,-0.0016458677490956974,1.4027642144267845
2018-04-03,10821.5302734375,10821.5302734375,10837.5400390625,10775.4501953125,10837.5400390625,2124100,-0.0061294641559849206,1.3941660214551572
2018-04-09,10893.5302734375,10893.5302734375,10904.75,10829.01953125,10880.1396484375,2664500,0.006653402816487963,1.4034419695889588
2018-04-10,10927.1796875,10927.1796875,10975.669921875,10874.830078125,10885.6396484375,2943400,0.00308893565427093,1.4077771115275224
2018-04-11,10974.01953125,10974.01953125,11016.349609375,10953.3095703125,10961.7001953125,2560400,0.004286544661069591,1.4138116109889167
