score,label,liquidity,horizon,decile,mean_ret,win_rate,n_days
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,8,0.011124336686784829,0.6106032906764168,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,9,0.012168340976916159,0.6085720089376396,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,20,10,0.01715529330494534,0.6315254925858217,4923
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,1,0.04015417564373924,0.6668031947573213,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,2,0.035410011279076094,0.6657792340774115,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,3,0.035097963904965744,0.670489453204997,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,4,0.034590709826482914,0.6776571779643662,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,5,0.03392200141816173,0.6719229981568707,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,6,0.03387645378909857,0.6721277902928527,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,7,0.034492311251768625,0.6625025599016998,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,8,0.035576206740360314,0.6579971329100962,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,9,0.03853469393521883,0.6573827565021503,4883
interact_turn_5d,prior_ret(5d)×turnover 交互,all,60,10,0.047364282727171365,0.6674175711652672,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,1,0.005694477483441673,0.601864990877762,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,2,0.005222389979597583,0.6124062436651125,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,3,0.005710816430955494,0.6148388404621934,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,4,0.005649153966988427,0.6207176160551389,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,5,0.005211832502138506,0.6107845124670586,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,6,0.005286615957417784,0.6124062436651125,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,7,0.005248104069296917,0.6077437664707075,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,8,0.005490897709290183,0.6091627812690047,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,9,0.0064215924713955244,0.6154469896614636,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,10,10,0.009570463935852149,0.627609973646868,4933
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,1,0.012926179175704273,0.6173065204143815,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,2,0.011023792472385777,0.612634572415194,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,3,0.011205738413030467,0.6231972374568353,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,4,0.010627656032566588,0.6203534430225472,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,5,0.010586485008405302,0.6187284176315255,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,6,0.010949947741843805,0.6160877513711152,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,7,0.011092116394727007,0.6148689823278489,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,8,0.011404016289061668,0.6120251878935609,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,9,0.01280218491345169,0.6160877513711152,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,20,10,0.017531721871116214,0.6197440585009141,4923
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,1,0.03984137651011026,0.6721277902928527,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,2,0.0348949372696693,0.6721277902928527,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,3,0.03432067843324241,0.6727421667007987,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,4,0.03389358043187838,0.6756092566045464,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,5,0.034051049790560485,0.6682367397091952,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,6,0.03455766480015485,0.669670284661069,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,7,0.0355707056695808,0.660045054269916,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,8,0.03582194186980487,0.6530821216465288,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,9,0.0383113955852571,0.6561540036862584,4883
interact_turn_20d,prior_ret(20d)×turnover 交互,all,60,10,0.047740597227863425,0.6647552733975015,4883
rvol_only,純 RVOL baseline (對照),all,10,1,0.0032791689610540144,0.5753920386007237,4974
rvol_only,純 RVOL baseline (對照),all,10,2,0.004397360541127079,0.5918777643747487,4974
rvol_only,純 RVOL baseline (對照),all,10,3,0.005203056021507645,0.6057498994772819,4974
rvol_only,純 RVOL baseline (對照),all,10,4,0.005533712763411638,0.6117812625653397,4974
rvol_only,純 RVOL baseline (對照),all,10,5,0.006009395592817789,0.6154000804181745,4974
rvol_only,純 RVOL baseline (對照),all,10,6,0.006559407597661837,0.6220345798150382,4974
rvol_only,純 RVOL baseline (對照),all,10,7,0.006726112282410939,0.6258544431041415,4974
rvol_only,純 RVOL baseline (對照),all,10,8,0.0071698217588305625,0.6290711700844391,4974
rvol_only,純 RVOL baseline (對照),all,10,9,0.007694910414132906,0.6280659429030961,4974
rvol_only,純 RVOL baseline (對照),all,10,10,0.008286522563293238,0.6268596702854845,4974
rvol_only,純 RVOL baseline (對照),all,20,1,0.009756035723778875,0.5936744560838034,4964
rvol_only,純 RVOL baseline (對照),all,20,2,0.010515611830774867,0.6053585817888799,4964
rvol_only,純 RVOL baseline (對照),all,20,3,0.011208692993269391,0.6073730862207897,4964
rvol_only,純 RVOL baseline (對照),all,20,4,0.011299272355386879,0.6091861402095085,4964
rvol_only,純 RVOL baseline (對照),all,20,5,0.011566053125859736,0.6170427074939565,4964
rvol_only,純 RVOL baseline (對照),all,20,6,0.012559726296829355,0.6228847703464948,4964
rvol_only,純 RVOL baseline (對照),all,20,7,0.01280133766066665,0.6255036261079774,4964
