period,score,label,horizon,universe,top_n,mean_ret,std_ret,sharpe,win_rate,n_days
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,20,chip_avail,20,0.036875997017395655,0.09676768651508019,6.049419241228884,0.6223908918406073,527
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,40,all,20,0.05045939258339466,0.11444699235166884,6.999030800537726,0.6429980276134122,507
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,40,chip_avail,20,0.048920915145720355,0.11512948896154791,6.7454086639000925,0.6370808678500987,507
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,60,all,20,0.05807782936375561,0.144419143332263,6.3838971608945165,0.6611909650924025,487
OOS,combo_3group_median_raw,現行 scanner: 3-group median（未 flip）,60,chip_avail,20,0.05773779846693344,0.14668889610690838,6.2483198134045255,0.6632443531827515,487
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,all,20,0.0009183704750581935,0.006502320664104558,2.2420732664031124,0.608058608058608,546
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),1,chip_avail,20,0.0008605036700759491,0.006652583130073759,2.0533486034806683,0.6062271062271062,546
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,all,20,0.002712400724367068,0.013322956946009842,3.2318671305663833,0.6107011070110702,542
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),5,chip_avail,20,0.0021385221822731023,0.013809227226906196,2.458355319028543,0.6180811808118081,542
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,all,20,0.004084712137671877,0.018793396401706956,3.450296773153329,0.6126629422718808,537
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),10,chip_avail,20,0.003430793714965322,0.018735184308299676,2.906945612061219,0.5921787709497207,537
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,all,20,0.007237969684302428,0.025652816353112947,4.479009443194745,0.6527514231499051,527
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),20,chip_avail,20,0.006649967837115901,0.02529573663967524,4.17323157041201,0.6451612903225806,527
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),40,all,20,0.011248028706239723,0.03520630697669481,5.071731047983904,0.6055226824457594,507
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),40,chip_avail,20,0.01011953692896746,0.03401649200446402,4.722493682241305,0.6035502958579881,507
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),60,all,20,0.015260509035808561,0.04473316151425041,5.415514185306306,0.5913757700205339,487
OOS,combo_rvol_lowatr,低波動放量 (RVOL - ATR%),60,chip_avail,20,0.01412478547184124,0.043478619709914006,5.157109852607687,0.5954825462012321,487
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),1,all,20,0.0003886200145403516,0.01256837972726868,0.49084699951193417,0.5384615384615384,546
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),1,chip_avail,20,0.0004460265384924009,0.012719285932166135,0.5566705420159858,0.5512820512820513,546
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),5,all,20,0.0015603849098700575,0.02810795278875149,0.8812574402870592,0.551660516605166,542
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),5,chip_avail,20,0.0017598510222003815,0.028624082326280588,0.9759882806772314,0.551660516605166,542
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),10,all,20,0.002426126396894205,0.03808903233380939,1.0111457344155552,0.5605214152700186,537
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),10,chip_avail,20,0.0026837693743343924,0.038753996364523646,1.0993322506331653,0.547486033519553,537
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),20,all,20,0.006534992765217821,0.05370034133283906,1.9318274611188848,0.5787476280834914,527
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),20,chip_avail,20,0.00721384263592195,0.05437190609447662,2.106164927744882,0.5768500948766604,527
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),40,all,20,0.01684204896526061,0.07314911702389777,3.6549892830253525,0.5936883629191322,507
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),40,chip_avail,20,0.01943526035827741,0.07398022422759487,4.170373862258231,0.6035502958579881,507
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),60,all,20,0.025262613134942942,0.08431166319099376,4.75653706448286,0.6160164271047228,487
OOS,combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),60,chip_avail,20,0.028549221391994693,0.0847700573561774,5.346284451150406,0.6365503080082136,487
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,1,all,20,0.0008499089174212207,0.008642730410886352,1.561067527725007,0.5860805860805861,546
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,1,chip_avail,20,0.0008573357704028244,0.008634771053228298,1.5761603113155787,0.5934065934065934,546
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,5,all,20,0.0022518418911055393,0.018910694856538082,1.8902997528859682,0.6070110701107011,542
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,5,chip_avail,20,0.0022111206056426394,0.018911273070798717,1.856059680191758,0.6014760147601476,542
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,10,all,20,0.004074583451920437,0.025489422343778278,2.5376019192350094,0.6052141527001862,537
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,10,chip_avail,20,0.0039924236174007305,0.02551716467595667,2.483730497695007,0.6033519553072626,537
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,20,all,20,0.008438442324480617,0.03414123215411173,3.923587715151997,0.6318785578747628,527
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,20,chip_avail,20,0.008375394856953995,0.034164331587786645,3.891639770536238,0.6337760910815939,527
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,40,all,20,0.015764800219473282,0.04656454193871805,5.374442326210639,0.6193293885601578,507
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,40,chip_avail,20,0.015754246837455747,0.046606453038367204,5.366014769335125,0.621301775147929,507
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,60,all,20,0.020713781620910036,0.05392580125346204,6.097657923305493,0.62217659137577,487
OOS,combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,60,chip_avail,20,0.02086944421187997,0.05382483655420822,6.155005338009205,0.6283367556468172,487
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,1,all,20,0.0005197760625698243,0.014332684907116226,0.5756904060541984,0.5201465201465202,546
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,1,chip_avail,20,0.0004275136405055762,0.014612574346336036,0.464433472729972,0.521978021978022,546
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,5,all,20,0.0011923438137020905,0.03091124681954474,0.612329595132492,0.5571955719557196,542
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,5,chip_avail,20,0.0008549651597253163,0.031154805543870054,0.43563588077721904,0.5553505535055351,542
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,10,all,20,0.002060024730303033,0.03946589258357164,0.8286111537170985,0.5456238361266295,537
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,10,chip_avail,20,0.0016032828581679997,0.03962039471908355,0.6423794241447407,0.5400372439478585,537
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,20,all,20,0.0029955145224978843,0.05272029458859865,0.9019736938563031,0.5483870967741935,527
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,20,chip_avail,20,0.0025545463131682405,0.05308761888231842,0.7638723754654403,0.5502846299810247,527
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,40,all,20,0.008034816671901788,0.06665256386402947,1.9136362214555593,0.5463510848126233,507
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,40,chip_avail,20,0.007251690529124537,0.06637293964689779,1.734396863565406,0.5364891518737672,507
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,60,all,20,0.010828714749664813,0.07115645535263737,2.4158105771924108,0.5482546201232033,487
OOS,combo_tech70_chip30,Tech 70% + Chip 30%,60,chip_avail,20,0.009087220616000138,0.0699286630348654,2.0628902211439355,0.5503080082135524,487
