scheme,week,ret,n_picks,overlap_jaccard
S0_LIVE,2023-02-03,0.10579112941525687,50,0.7857142857142857
S0_LIVE,2023-02-10,0.056436618746619205,50,0.639344262295082
S0_LIVE,2023-02-17,0.09864580758636421,50,0.8867924528301887
S0_LIVE,2023-02-24,0.12921990798655472,50,0.8867924528301887
S0_LIVE,2023-03-03,0.12406783771625152,50,0.9607843137254902
S0_LIVE,2023-03-10,0.12496672681977308,50,0.5625
S0_LIVE,2023-03-17,0.1854899643239079,50,0.8867924528301887
S0_LIVE,2023-03-24,0.11022269893670349,50,0.8518518518518519
S0_LIVE,2023-03-31,0.11414499818161485,50,0.2987012987012987
S0_LIVE,2023-04-07,0.11836378287034416,50,0.9607843137254902
S0_LIVE,2023-04-14,0.08485336514552683,50,0.47058823529411764
S0_LIVE,2023-04-21,0.1493323774999599,50,0.9230769230769231
S0_LIVE,2023-04-28,0.16653331801825685,50,0.9230769230769231
S0_LIVE,2023-05-05,0.16855118125845242,50,0.8867924528301887
S0_LIVE,2023-05-12,0.11811105916316557,50,0.6949152542372882
S0_LIVE,2023-05-19,0.02871791515283002,50,0.8518518518518519
S0_LIVE,2023-05-26,0.04125239321583666,50,0.8518518518518519
S0_LIVE,2023-06-02,0.03266729737243367,50,0.9230769230769231
S0_LIVE,2023-06-09,0.04245047646928051,50,0.9607843137254902
S0_LIVE,2023-06-16,0.02415497426194848,50,0.5625
S0_LIVE,2023-06-21,0.041995280877242414,50,0.9230769230769231
S0_LIVE,2023-06-30,0.07407544858335756,50,0.3888888888888889
S0_LIVE,2023-07-07,0.0677365929783365,50,0.8181818181818182
S0_LIVE,2023-07-14,0.021462345581007538,50,0.5151515151515151
S0_LIVE,2023-07-21,-0.016575204410430044,50,0.8518518518518519
S0_LIVE,2023-07-28,-0.032572932091547005,50,0.8181818181818182
S0_LIVE,2023-08-04,-0.005261657427419413,50,0.8181818181818182
S0_LIVE,2023-08-11,0.09561661138682716,50,0.4492753623188406
S0_LIVE,2023-08-18,0.09583121416196967,50,0.9230769230769231
S0_LIVE,2023-08-25,0.10474313202348139,50,0.9230769230769231
S0_LIVE,2023-09-01,0.08542587277692616,50,0.9607843137254902
S0_LIVE,2023-09-08,0.04572778960475836,50,0.7857142857142857
S0_LIVE,2023-09-15,0.07741583350732849,50,0.5151515151515151
S0_LIVE,2023-09-22,0.09305071441143088,50,0.8518518518518519
S0_LIVE,2023-09-28,0.11726385051468105,50,0.7857142857142857
S0_LIVE,2023-10-06,0.08085453015292288,50,0.4084507042253521
