week,v_n,q_n,overlap_n,overlap_pct,v_ret,q_ret,dual_ret_naive,overlap_ids
2021-05-21,20,6,2,0.1,0.15570549126750494,0.13387445891958358,0.14478997509354424,"2412,3529"
2021-05-28,20,5,1,0.05,0.10649679650500747,0.04452160258706221,0.07550919954603484,2412
2021-06-04,20,5,1,0.05,0.11053062677315414,-0.009792512655476936,0.0503690570588386,2412
2021-06-11,20,5,1,0.05,0.10189503745450994,0.04320719581966832,0.07255111663708913,2412
2021-06-18,20,4,1,0.05,0.06704499687401319,0.062429537005878166,0.06473726693994568,2412
2021-06-25,20,7,2,0.1,0.01917125157605156,-0.00199434757182653,0.008588452002112515,"2412,3293"
2021-07-02,20,5,0,0.0,0.04574181176076232,-0.00946326028804414,0.01813927573635909,
2021-07-09,20,5,0,0.0,0.05178253376340934,0.07727074855199394,0.06452664115770164,
2021-07-16,20,4,0,0.0,-0.08278044960209426,-0.08035773408667365,-0.08156909184438396,
2021-07-23,20,5,0,0.0,-0.12125907249251403,-0.06098428175302963,-0.09112167712277183,
2021-07-30,20,4,0,0.0,-0.0546848338621756,-0.009731562349911016,-0.032208198106043306,
2021-08-06,20,4,1,0.05,-0.08900657272381898,-0.08408595312161601,-0.0865462629227175,2609
2021-08-13,20,5,1,0.05,-0.026529669136197743,0.026578365936246164,2.4348400024210362e-05,6415
2021-08-20,20,9,2,0.1,-0.0033232472381640897,0.1042263209993552,0.05045153688059555,"2609,6415"
2021-08-27,20,6,2,0.1,-0.0444705534008788,-0.0453967568904373,-0.044933655145658044,"2609,6415"
2021-09-03,20,1,0,0.0,-0.10145593529094095,-0.04939925904218201,-0.07542759716656147,
2021-09-10,20,5,1,0.05,-0.11934340483412094,-0.12362729280855582,-0.12148534882133838,6271
2021-09-17,20,7,2,0.1,-0.06763172695679756,-0.052267780159019846,-0.0599497535579087,"6271,8415"
2021-09-24,20,5,0,0.0,-0.04096005355907188,-0.04392069053619947,-0.04244037204763568,
2021-10-01,20,5,0,0.0,0.10967416275694293,0.2905212896992163,0.20009772622807961,
2021-10-08,20,7,1,0.05,0.11368724117450704,0.08799291529907201,0.10084007823678953,6415
2021-10-15,20,6,0,0.0,0.14017702231730067,0.1590675643026829,0.14962229330999177,
2021-10-22,20,2,0,0.0,0.1719159784943105,0.058554006968641104,0.1152349927314758,
2021-10-29,20,3,0,0.0,0.07221747894106428,0.06655235041839935,0.06938491467973182,
2021-11-05,20,4,0,0.0,0.1061964373840428,0.11749138127432468,0.11184390932918374,
2021-11-12,20,4,0,0.0,0.06889167539749286,0.05492061228676809,0.06190614384213047,
2021-11-19,20,2,0,0.0,0.036672017425681366,-0.010502240477968605,0.01308488847385638,
2021-11-26,20,6,1,0.05,0.05800805499559536,0.03376533068303087,0.04588669283931311,6415
2021-12-03,20,2,1,0.05,0.008900472407776222,0.07832041427826997,0.043610443343023095,6415
2021-12-10,20,4,1,0.05,-0.03354997097510629,-0.0211940299276569,-0.027372000451381596,6415
2021-12-17,20,4,2,0.1,-0.06403036974450117,-0.07144379104766194,-0.06773708039608156,"6415,6531"
2021-12-24,20,4,1,0.05,-0.11063021679352247,-0.065135095903022,-0.08788265634827223,6531
2021-12-30,20,5,1,0.05,-0.08932548839422097,-0.11238223138067134,-0.10085385988744616,6531
2022-01-07,20,10,0,0.0,-0.023369572877544577,0.003874480598172858,-0.00974754613968586,
2022-01-14,20,10,2,0.1,0.019577706844321426,0.05255695904799702,0.03606733294615923,"1301,2603"
2022-01-21,20,5,0,0.0,0.09213333697722699,0.017643814074380027,0.05488857552580351,
2022-01-26,20,9,0,0.0,0.05117702752614395,0.023811148840767862,0.037494088183455905,
2022-02-11,20,8,2,0.1,0.012692436761379006,0.024478123819329442,0.018585280290354222,"2603,2609"
2022-02-18,20,6,0,0.0,-0.03108789899674077,-0.054856848363456535,-0.04297237368009865,
2022-02-25,20,4,1,0.05,-0.03494861999859158,-0.053896999058130335,-0.04442280952836096,2408
2022-03-04,20,5,1,0.05,-0.0708636631319058,0.07713527051325723,0.0031358036906757175,1301
2022-03-11,20,8,1,0.05,-0.0628926674003347,0.010070852475250941,-0.026410907462541877,1301
2022-03-18,20,6,2,0.1,-0.07712144824676197,0.008821386809473438,-0.03415003071864427,"1301,2603"
2022-03-25,20,4,2,0.1,-0.1010177682248102,-0.013025656045772993,-0.0570217121352916,"1301,2609"
2022-04-01,20,3,1,0.05,-0.08668242476771318,-0.07148558008547168,-0.07908400242659243,2603
2022-04-08,20,1,0,0.0,-0.07932176485677027,-0.08658008658008653,-0.08295092571842841,
2022-04-15,20,2,1,0.05,-0.024446099590515795,-0.038616384846246465,-0.031531242218381134,2603
2022-04-22,20,3,0,0.0,0.007107380487029402,-0.011536715923869031,-0.0022146677184198145,
2022-04-29,20,5,2,0.1,0.06746762814689024,-0.03372048707248365,0.016873570537203293,"2603,2609"
2022-05-06,20,3,0,0.0,0.04198735231509553,-0.0613510944638509,-0.009681871074377683,
