universe,score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,liq_50m,60,top,0.012414943831301763,0.16597531451607225,57.6239822353812,8.627523931440122,2702,0.01847691456998053,0.0025,0.013476914569980528,0.6848484848484848
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,liq_50m,60,top,0.012414943831301763,0.16597531451607225,57.6239822353812,8.627523931440122,2702,0.01847691456998053,0.0035,0.01147691456998053,0.6848484848484848
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),liq_50m,5,top,-0.003283817881897361,-0.02869591519004628,50.184365781710916,-1.4943933377085898,2712,0.0023815716561065643,0.0025,-0.0026184283438934358,0.9030303030303028
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),liq_50m,5,top,-0.003283817881897361,-0.02869591519004628,50.184365781710916,-1.4943933377085898,2712,0.0023815716561065643,0.0035,-0.004618428343893435,0.9030303030303028
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),liq_50m,20,top,-0.002042105967289664,-0.01750270850815776,48.64664441972562,-0.908962012084547,2697,0.007932722954562777,0.0025,0.0029327229545627774,0.9030303030303028
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),liq_50m,20,top,-0.002042105967289664,-0.01750270850815776,48.64664441972562,-0.908962012084547,2697,0.007932722954562777,0.0035,0.0009327229545627773,0.9030303030303028
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),liq_50m,60,top,0.019989613229604474,0.18574093967378374,57.28264960481746,9.57422028441908,2657,0.02804917359568654,0.0025,0.023049173595686537,0.9151515151515152
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),liq_50m,60,top,0.019989613229604474,0.18574093967378374,57.28264960481746,9.57422028441908,2657,0.02804917359568654,0.0035,0.02104917359568654,0.9151515151515152
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),liq_50m,5,top,0.015645146980886517,0.1968645361412055,58.9622641509434,10.334919411698069,2756,0.002780557607297291,0.0025,-0.002219442392702709,0.9636363636363635
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),liq_50m,5,top,0.015645146980886517,0.1968645361412055,58.9622641509434,10.334919411698069,2756,0.002780557607297291,0.0035,-0.004219442392702709,0.9636363636363635
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),liq_50m,20,top,0.01315253718733608,0.17634991424478028,56.877052170740605,9.232722245827686,2741,0.00258579610622562,0.0025,-0.00241420389377438,0.6606060606060605
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),liq_50m,20,top,0.01315253718733608,0.17634991424478028,56.877052170740605,9.232722245827686,2741,0.00258579610622562,0.0035,-0.00441420389377438,0.6606060606060605
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),liq_50m,60,top,0.013691045750378557,0.1835302162702872,58.237689744539054,9.53827563596659,2701,0.004679325846749134,0.0025,-0.00032067415325086595,0.8909090909090909
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),liq_50m,60,top,0.013691045750378557,0.1835302162702872,58.237689744539054,9.53827563596659,2701,0.004679325846749134,0.0035,-0.002320674153250866,0.8909090909090909
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),liq_50m,5,top,0.0166874819074389,0.21273494330813794,59.630032644178456,11.170103955630898,2757,0.001403825425188251,0.0025,-0.003596174574811749,0.9030303030303028
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),liq_50m,5,top,0.0166874819074389,0.21273494330813794,59.630032644178456,11.170103955630898,2757,0.001403825425188251,0.0035,-0.005596174574811749,0.9030303030303028
