horizon,w_rvol,w_trigger,w_quality,w_trend,mean_ret,win_rate,sharpe,n_days
40d,10,0,30,60,7.139,80.1,1.872,869
40d,10,10,80,0,6.607,81.1,1.839,869
40d,10,10,70,10,6.789,81.4,1.874,869
40d,10,10,60,20,7.034,80.4,1.859,869
40d,10,10,50,30,7.109,79.7,1.872,869
40d,10,10,40,40,7.296,81.1,1.925,869
40d,10,10,30,50,7.18,81.0,1.898,869
40d,10,10,20,60,6.919,80.2,1.867,869
40d,10,20,70,0,6.525,80.8,1.844,869
40d,10,20,60,10,6.66,81.1,1.865,869
40d,10,20,50,20,6.82,81.4,1.854,869
40d,10,20,40,30,6.929,80.0,1.835,869
40d,10,20,30,40,7.01,79.9,1.858,869
40d,10,20,20,50,6.959,80.0,1.867,869
40d,10,20,10,60,6.398,78.6,1.761,869
40d,10,30,60,0,6.371,80.1,1.798,869
40d,10,30,50,10,6.656,80.0,1.832,869
40d,10,30,40,20,6.801,80.2,1.831,869
40d,10,30,30,30,6.754,80.1,1.808,869
40d,10,30,20,40,6.669,78.8,1.793,869
40d,10,30,10,50,6.317,78.4,1.713,869
40d,10,30,0,60,5.794,75.0,1.561,869
40d,10,40,50,0,6.379,80.1,1.788,869
40d,10,40,40,10,6.516,79.6,1.799,869
40d,10,40,30,20,6.442,79.1,1.768,869
40d,10,40,20,30,6.344,78.6,1.743,869
40d,10,40,10,40,6.177,77.4,1.661,869
40d,10,40,0,50,5.837,75.1,1.553,869
40d,10,50,40,0,6.365,80.2,1.796,869
40d,10,50,30,10,6.271,79.6,1.776,869
40d,10,50,20,20,6.058,77.9,1.712,869
40d,10,50,10,30,5.912,77.3,1.625,869
40d,10,50,0,40,5.675,75.3,1.535,869
40d,10,60,30,0,6.011,78.8,1.77,869
40d,10,60,20,10,5.766,77.3,1.709,869
40d,10,60,10,20,5.601,76.3,1.622,869
40d,10,60,0,30,5.491,74.9,1.52,869
40d,20,0,80,0,6.147,81.0,1.728,869
40d,20,0,70,10,6.187,80.4,1.743,869
40d,20,0,60,20,6.4,79.6,1.756,869
40d,20,0,50,30,6.573,78.6,1.76,869
40d,20,0,40,40,6.582,78.9,1.747,869
40d,20,0,30,50,6.455,79.1,1.714,869
40d,20,0,20,60,6.283,79.7,1.704,869
