run,mt_mode,cap_label,cap,period,side,n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,mean_qm_top1_sec,mean_qm_top3_sec,qm_skip,value_skip
industry_tse__cap_20,industry_tse,cap_20,0.2,BEAR_2022,qm,51,0.98,16.9,15.73,1.011,-8.97,25.5,0.6578898225957049,0.9619047619047619,6,1
industry_tse__cap_20,industry_tse,cap_20,0.2,BEAR_2022,dual,51,0.98,14.6,10.68,1.273,-7.01,27.5,0.6578898225957049,0.9619047619047619,6,1
industry_tse__cap_20,industry_tse,cap_20,0.2,AI_ERA_2024_2025,value,103,1.98,0.56,10.97,-0.04,-22.21,15.5,0.5153952843273232,0.9169671752196024,4,8
industry_tse__cap_20,industry_tse,cap_20,0.2,AI_ERA_2024_2025,qm,103,1.98,15.92,13.2,1.13,-8.11,42.7,0.5153952843273232,0.9169671752196024,4,8
industry_tse__cap_20,industry_tse,cap_20,0.2,AI_ERA_2024_2025,dual,103,1.98,8.33,8.87,0.827,-10.18,49.5,0.5153952843273232,0.9169671752196024,4,8
theme_primary__no_cap,theme_primary,no_cap,,IS_2020_2022,value,155,2.98,23.69,11.09,2.046,-7.97,21.9,0.33571940604198663,0.4661239119303635,0,0
theme_primary__no_cap,theme_primary,no_cap,,IS_2020_2022,qm,155,2.98,4.49,18.18,0.192,-23.64,33.5,0.33571940604198663,0.4661239119303635,0,0
theme_primary__no_cap,theme_primary,no_cap,,IS_2020_2022,dual,155,2.98,14.2,11.76,1.122,-11.78,42.6,0.33571940604198663,0.4661239119303635,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2023,value,51,0.98,5.1,3.4,1.203,-0.31,5.9,0.29822595704948646,0.569000933706816,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2023,qm,51,0.98,10.98,18.94,0.527,-21.01,33.3,0.29822595704948646,0.569000933706816,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2023,dual,51,0.98,8.45,10.1,0.738,-11.03,35.3,0.29822595704948646,0.569000933706816,0,0
theme_primary__no_cap,theme_primary,no_cap,,OOS_2024,value,52,1.0,11.53,8.31,1.266,-3.2,19.2,0.21303418803418803,0.3698717948717949,0,0
