score,label,liquidity,horizon,top_n,direction,mean_ret,std_ret,sharpe_proxy,win_rate,n_days
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,10,bot,0.0028251307439787865,0.06228834427162675,0.7199992349016935,0.539404905508645,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,20,top,0.01025255228038731,0.06188444601628891,2.629969763043828,0.6015279453156414,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,20,bot,0.0032187246149683654,0.05637750376269398,0.9063130825217819,0.5512665862484921,4974
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,50,top,0.009633211028182298,0.052961790963038276,2.8874114992103426,0.6085242670608524,4059
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,50,bot,0.0038474620193308406,0.04980835708662732,1.2262312925774603,0.5695984232569599,4059
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,10,top,0.017915820276373715,0.10021545245526857,2.837933900832557,0.5737308622078968,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,10,bot,0.007734308228126386,0.08844834316610697,1.3881360850126852,0.5308219178082192,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,20,top,0.01647444151823403,0.0877398725832384,2.980670518155146,0.5900483481063659,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,20,bot,0.008133166935255006,0.08035375046958282,1.6067703341516348,0.5491539081385979,4964
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,50,top,0.015709321531412048,0.07401773213618561,3.369162240301829,0.6033588540380341,4049
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,50,bot,0.00866972982797554,0.07106693408888398,1.9365925393871697,0.5650777969869103,4049
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,10,top,0.0498825975448873,0.18453298753653977,4.291166027783294,0.6066206336311941,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,10,bot,0.01838008529795832,0.16076408714597823,1.814925297229933,0.5389926888708367,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,20,top,0.04618487843044462,0.16245268087039186,4.513081667991541,0.6318034118602762,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,20,bot,0.021367579245872053,0.14655946436932418,2.314417607105091,0.5674248578391552,4924
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,50,top,0.047779351634006186,0.1385656855666767,5.473748354530071,0.6545273135445249,4009
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,50,bot,0.025290476797381955,0.12666206476543987,3.1696457310103385,0.5929159391369418,4009
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,10,top,0.015610069840843935,0.07677059651970614,3.2278266382849847,0.5908725371934057,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,10,bot,0.003194721039911394,0.06412266466533798,0.7909001371616644,0.523924406915963,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,20,top,0.012704971282399872,0.06524251077323644,3.091315220312141,0.6011258544431042,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,20,bot,0.003087086359611245,0.058253746848453095,0.8412502088038262,0.5406111781262566,4974
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,50,top,0.010699969772481919,0.0540291711418789,3.1437971513080347,0.6124661246612466,4059
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,50,bot,0.0032706740941779878,0.050835644592605686,1.0213373323483048,0.5538309928553831,4059
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,10,top,0.02323844681028125,0.10804976256557387,3.4141574949649587,0.5817888799355359,4964
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,10,bot,0.008609297394516609,0.09103955220990863,1.5011976212076414,0.5286059629331185,4964
