date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2017-04-17,-37000,0,1243000,-151000,-46000,1009000
2017-04-18,161000,0,1498997,-81000,139000,1717997
2017-04-19,36000,0,526771,-202000,28000,388771
2017-04-20,-359000,0,-515651,-20000,15000,-879651
2017-04-21,-150000,0,894815,-743000,35000,36815
2017-04-24,-33000,0,512022,-145000,-75000,259022
2017-04-25,109000,0,1514000,-252192,214000,1584808
2017-04-26,140000,0,695100,68000,175000,1078100
2017-04-27,-257000,0,-1318000,-360000,-160000,-2095000
2017-04-28,19000,0,608142,30000,13000,670142
2017-05-02,78000,0,-2224000,-2267000,-553000,-4966000
2017-05-03,-286000,0,-1877000,-4504000,-380000,-7047000
2017-05-04,25000,0,1637881,-998000,447000,1111881
2017-05-05,-111000,0,158000,-163000,-220000,-336000
2017-05-08,-160000,0,1849000,-384000,108000,1413000
2017-05-09,-50000,0,174815,284000,-127561,281254
2017-05-10,134000,0,988000,54000,406000,1582000
2017-05-11,12000,0,1331000,-86000,20000,1277000
2017-05-12,49000,0,-847914,66000,-24000,-756914
2017-05-15,1000,0,652000,-35000,326000,944000
2017-05-16,122000,0,-26000,-415000,-431000,-750000
2017-05-17,94000,0,471000,-315000,85000,335000
2017-05-18,-83000,0,1339000,-297000,-58000,901000
2017-05-19,39000,0,137330,46000,-107000,115330
2017-05-22,43000,0,-63000,-217000,7000,-230000
2017-05-23,64000,0,-12588,-382000,412000,81412
2017-05-24,-132000,0,1358000,-1334000,-208000,-316000
2017-05-25,129000,0,2107000,-119000,805000,2922000
2017-05-26,77000,0,-320096,-24000,-423000,-690096
2017-05-31,-158000,0,-313000,173000,-1000,-299000
2017-06-01,-5000,0,918000,-291000,66000,688000
2017-06-02,-30000,0,1589349,-607000,-50000,902349
2017-06-03,404000,0,686000,-121000,800000,1769000
2017-06-05,-95000,0,2021000,688000,-151000,2463000
2017-06-06,-48000,0,314000,337000,-319831,283169
2017-06-07,8000,0,561132,-263000,62000,368132
2017-06-08,18000,0,200000,-204000,53000,67000
2017-06-09,-158000,0,2280000,-39000,30000,2113000
2017-06-12,152000,0,5235000,609000,1506000,7502000
2017-06-13,7000,0,-273000,-401000,-1192000,-1859000
2017-06-14,17000,0,406000,-218000,-397000,-192000
2017-06-15,74000,0,115000,-642000,-69000,-522000
2017-06-16,-38000,0,711813,-1511000,699000,-138187
2017-06-19,-98000,0,-237844,363000,-366000,-338844
2017-06-20,-27000,0,-237194,-430000,-269000,-963194
2017-06-21,147000,0,278783,70000,153000,648783
2017-06-22,513000,0,720648,-300000,1141000,2074648
2017-06-23,-230000,0,-408960,-398000,-1204000,-2240960
2017-06-26,79000,0,186000,-343000,-86000,-164000
2017-06-27,-77000,0,-496000,-1141000,-48000,-1762000
2017-06-28,-567000,0,43748,-1039000,-418000,-1980252
2017-06-29,-174000,0,628673,-858000,36000,-367327
2017-06-30,-227000,0,-162000,-1251000,21000,-1619000
2017-07-03,19000,0,122474,-745000,-15000,-618526
2017-07-04,-139000,0,-919170,-1121000,-10000,-2189170
2017-07-05,59000,0,306905,-440000,-7000,-81095
2017-07-06,36000,0,-538510,-150000,62000,-590510
2017-07-07,12000,0,241458,-172000,67000,148458
2017-07-10,227000,0,474821,-945000,509000,265821
2017-07-11,-84000,0,805778,-779000,-107000,-164222
2017-07-12,185000,0,3619652,-108000,-674000,3022652
2017-07-13,251000,0,3891169,-151000,180000,4171169
2017-07-14,-7000,0,-330910,-220000,-805000,-1362910
2017-07-17,-9000,0,3563634,-238052,845000,4161582
2017-07-18,34000,0,1119000,-42000,-539000,572000
2017-07-19,-4000,0,131498,-80000,-390000,-342502
2017-07-20,-174000,0,231000,-362000,-491000,-796000
2017-07-21,-28000,0,93723,-154000,-284000,-372277
2017-07-24,52000,0,1698000,-672000,-92000,986000
2017-07-25,-12000,0,-492000,-257000,-149000,-910000
2017-07-26,-13000,0,767000,-209000,240000,785000
2017-07-27,80000,0,532998,-254000,39000,397998
2017-07-28,25000,0,773394,-511000,-48000,239394
2017-07-31,-124000,0,-54800,-54000,-297000,-529800
2017-08-01,-76000,0,698712,-141000,77000,558712
2017-08-02,334000,0,306000,-718000,338000,260000
2017-08-03,-327000,0,-770000,-350000,-227000,-1674000
2017-08-04,-275000,0,664000,-271000,-3000,115000
2017-08-07,-90000,0,348000,-292000,-2000,-36000
2017-08-08,-43000,0,978000,-898000,-74000,-37000
2017-08-09,25000,0,-929000,-249000,100000,-1053000
2017-08-10,-286000,0,6360214,-185000,692000,6581214
2017-08-11,31000,0,1367000,0,214000,1612000
2017-08-14,-19000,0,674000,-444000,-519000,-308000
2017-08-15,10000,0,1436000,-12000,81000,1515000
2017-08-16,-20000,0,-450000,-564000,51000,-983000
2017-08-17,48000,0,-222000,-45000,-110000,-329000
2017-08-18,-119000,0,1075000,-460000,-129000,367000
2017-08-21,-48000,0,644000,-171000,-112000,313000
2017-08-22,1000,0,143000,-205000,46000,-15000
2017-08-23,269000,0,553000,-55000,1336000,2103000
2017-08-24,-36000,0,781000,83000,-175000,653000
2017-08-25,-7000,0,-21264,48000,-269000,-249264
2017-08-28,-4000,0,675000,-505000,306000,472000
2017-08-29,-67000,0,-33000,0,-158000,-258000
2017-08-30,51000,0,160648,-332000,283000,162648
2017-08-31,116000,0,258000,-121000,-139000,114000
2017-09-01,236000,0,1915000,726000,1978000,4855000
2017-09-04,261000,0,2358000,25000,-586000,2058000
2017-09-05,-96000,0,2437448,423500,-209000,2555948
2017-09-06,278000,0,540000,-59000,-565599,193401
2017-09-07,-146000,0,-192000,206000,230000,98000
2017-09-08,-42000,0,1862392,195000,-383000,1632392
